County,County Value,Error Margin,Z-Score
"Alabama","34%","&nbsp;",
"Autauga","31%","26-36%","-1.09"
"Baldwin","27%","24-30%","-2.09"
"Barbour","41%","35-47%","1.28"
"Bibb","40%","34-46%","1.11"
"Blount","32%","27-38%","-0.73"
"Bullock","45%","36-53%","2.16"
"Butler","36%","31-42%","0.13"
"Calhoun","32%","29-36%","-0.82"
"Chambers","40%","34-46%","1.04"
"Cherokee","33%","27-40%","-0.66"
"Chilton","37%","31-43%","0.40"
"Choctaw","39%","33-44%","0.78"
"Clarke","36%","31-42%","0.16"
"Clay","38%","31-45%","0.54"
"Cleburne","30%","23-37%","-1.30"
"Coffee","30%","26-35%","-1.25"
"Colbert","37%","32-41%","0.28"
"Conecuh","37%","31-44%","0.42"
"Coosa","39%","32-45%","0.80"
"Covington","32%","27-37%","-0.92"
"Crenshaw","37%","30-44%","0.28"
"Cullman","35%","30-40%","-0.18"
"Dale","36%","31-42%","0.18"
"Dallas","42%","39-47%","1.66"
"DeKalb","31%","26-36%","-1.16"
"Elmore","30%","26-35%","-1.23"
"Escambia","39%","35-44%","0.95"
"Etowah","35%","31-39%","-0.18"
"Fayette","32%","26-39%","-0.73"
"Franklin","34%","29-40%","-0.30"
"Geneva","35%","29-41%","-0.18"
"Greene","46%","39-53%","2.50"
"Hale","36%","30-42%","0.11"
"Henry","35%","29-42%","-0.06"
"Houston","34%","30-38%","-0.44"
"Jackson","31%","25-37%","-1.16"
"Jefferson","34%","32-36%","-0.42"
"Lamar","33%","27-39%","-0.70"
"Lauderdale","32%","28-36%","-0.92"
"Lawrence","36%","30-43%","0.20"
"Lee","30%","26-34%","-1.42"
"Limestone","34%","29-39%","-0.46"
"Lowndes","46%","40-53%","2.62"
"Macon","42%","35-51%","1.66"
"Madison","31%","29-34%","-1.01"
"Marengo","41%","37-46%","1.40"
"Marion","35%","29-41%","-0.13"
"Marshall","35%","30-41%","-0.11"
"Mobile","36%","34-39%","0.16"
"Monroe","37%","32-44%","0.42"
"Montgomery","34%","30-37%","-0.44"
"Morgan","32%","28-37%","-0.78"
"Perry","38%","32-44%","0.56"
"Pickens","37%","32-43%","0.47"
"Pike","34%","28-40%","-0.32"
"Randolph","33%","28-39%","-0.54"
"Russell","35%","29-41%","-0.15"
"Shelby","31%","28-35%","-0.99"
"St. Clair","33%","29-38%","-0.56"
"Sumter","40%","34-46%","0.99"
"Talladega","38%","33-42%","0.51"
"Tallapoosa","37%","32-42%","0.25"
"Tuscaloosa","33%","30-36%","-0.66"
"Walker","33%","29-37%","-0.61"
"Washington","36%","30-43%","0.13"
"Wilcox","44%","38-50%","2.14"
"Winston","29%","23-35%","-1.61"
