County,County Value,Error Margin,Z-Score
"Arizona","24%","&nbsp;",
"Apache","33%","29-37%","1.20"
"Cochise","25%","21-29%","-0.62"
"Coconino","22%","19-24%","-1.34"
"Gila","27%","24-30%","-0.14"
"Graham","32%","27-37%","0.98"
"Greenlee","33%","28-39%","1.34"
"La Paz","32%","28-36%","0.91"
"Maricopa","22%","21-24%","-1.18"
"Mohave","28%","26-31%","0.15"
"Navajo","31%","27-35%","0.78"
"Pima","22%","20-24%","-1.29"
"Pinal","30%","27-33%","0.55"
"Santa Cruz","21%","17-26%","-1.40"
"Yavapai","25%","22-27%","-0.62"
"Yuma","30%","27-34%","0.67"
