County,County Value,Error Margin,Z-Score
"Arkansas","33%","&nbsp;",
"Arkansas","34%","29-40%","-0.32"
"Ashley","40%","33-47%","1.53"
"Baxter","29%","25-34%","-1.91"
"Benton","28%","26-31%","-2.10"
"Boone","29%","24-35%","-1.84"
"Bradley","37%","30-45%","0.67"
"Calhoun","35%","27-43%","0.00"
"Carroll","36%","30-43%","0.38"
"Chicot","39%","33-46%","1.34"
"Clark","32%","25-39%","-1.02"
"Clay","33%","26-39%","-0.73"
"Cleburne","31%","26-38%","-1.21"
"Cleveland","37%","30-45%","0.54"
"Columbia","38%","32-45%","0.99"
"Conway","39%","33-46%","1.31"
"Craighead","36%","31-42%","0.45"
"Crawford","36%","31-41%","0.35"
"Crittenden","38%","33-44%","1.08"
"Cross","38%","31-45%","0.86"
"Dallas","36%","29-44%","0.38"
"Desha","39%","32-46%","1.21"
"Drew","31%","25-38%","-1.33"
"Faulkner","29%","25-33%","-1.94"
"Franklin","37%","30-44%","0.57"
"Fulton","32%","26-39%","-0.95"
"Garland","31%","27-35%","-1.27"
"Grant","37%","30-44%","0.51"
"Greene","34%","28-41%","-0.28"
"Hempstead","41%","34-48%","1.97"
"Hot Spring","33%","27-39%","-0.79"
"Howard","37%","30-45%","0.73"
"Independence","34%","28-40%","-0.32"
"Izard","33%","27-40%","-0.63"
"Jackson","40%","33-48%","1.62"
"Jefferson","39%","35-43%","1.27"
"Johnson","35%","28-42%","-0.09"
"Lafayette","34%","27-42%","-0.32"
"Lawrence","33%","26-42%","-0.54"
"Lee","35%","29-42%","0.07"
"Lincoln","36%","29-43%","0.22"
"Little River","33%","26-41%","-0.60"
"Logan","35%","29-42%","0.10"
"Lonoke","34%","28-40%","-0.35"
"Madison","33%","27-40%","-0.67"
"Marion","31%","25-37%","-1.33"
"Miller","34%","28-40%","-0.48"
"Mississippi","38%","32-43%","0.86"
"Monroe","37%","29-45%","0.67"
"Montgomery","33%","26-41%","-0.60"
"Nevada","34%","28-41%","-0.22"
"Newton","37%","29-44%","0.54"
"Ouachita","38%","33-44%","0.89"
"Perry","36%","29-44%","0.35"
"Phillips","42%","36-47%","2.07"
"Pike","37%","30-45%","0.73"
"Poinsett","40%","33-48%","1.72"
"Polk","32%","26-38%","-0.95"
"Pope","33%","28-38%","-0.70"
"Prairie","35%","28-43%","0.10"
"Pulaski","32%","29-34%","-1.11"
"Randolph","35%","28-43%","0.10"
"Saline","32%","27-36%","-1.11"
"Scott","31%","24-39%","-1.17"
"Searcy","32%","25-39%","-1.02"
"Sebastian","35%","31-40%","0.07"
"Sevier","40%","34-47%","1.53"
"Sharp","33%","27-41%","-0.51"
"St. Francis","40%","34-47%","1.72"
"Stone","35%","29-42%","0.03"
"Union","36%","30-41%","0.16"
"Van Buren","35%","29-42%","0.00"
"Washington","29%","26-32%","-1.84"
"White","35%","30-41%","0.13"
"Woodruff","36%","29-44%","0.35"
"Yell","35%","29-42%","0.07"
