County,County Value,Error Margin,Z-Score
"California","23%","&nbsp;",
"Alameda","20%","18-22%","-1.15"
"Alpine","24%","18-31%","NA"
"Amador","27%","21-33%","0.69"
"Butte","25%","21-29%","0.30"
"Calaveras","25%","20-31%","0.33"
"Colusa","24%","18-31%","-0.12"
"Contra Costa","23%","21-26%","-0.34"
"Del Norte","27%","21-34%","0.86"
"El Dorado","19%","16-23%","-1.32"
"Fresno","29%","26-32%","1.30"
"Glenn","28%","22-35%","1.16"
"Humboldt","25%","20-29%","0.10"
"Imperial","25%","20-31%","0.24"
"Inyo","23%","17-29%","-0.34"
"Kern","29%","25-32%","1.22"
"Kings","25%","20-30%","0.22"
"Lake","27%","21-32%","0.69"
"Lassen","25%","20-31%","0.22"
"Los Angeles","21%","20-22%","-0.87"
"Madera","27%","22-32%","0.72"
"Marin","18%","15-21%","-1.68"
"Mariposa","23%","18-30%","-0.20"
"Mendocino","23%","19-28%","-0.26"
"Merced","29%","24-35%","1.44"
"Modoc","25%","19-32%","0.13"
"Mono","22%","16-29%","-0.54"
"Monterey","24%","20-28%","-0.12"
"Napa","24%","20-29%","0.05"
"Nevada","20%","16-24%","-1.15"
"Orange","20%","18-21%","-1.21"
"Placer","23%","20-26%","-0.40"
"Plumas","24%","19-30%","-0.04"
"Riverside","26%","23-28%","0.38"
"Sacramento","27%","25-29%","0.69"
"San Benito","24%","18-30%","-0.06"
"San Bernardino","29%","26-31%","1.27"
"San Diego","20%","19-22%","-1.10"
"San Francisco","15%","13-17%","-2.60"
"San Joaquin","29%","26-33%","1.47"
"San Luis Obispo","22%","19-25%","-0.65"
"San Mateo","20%","18-23%","-1.12"
"Santa Barbara","19%","16-22%","-1.43"
"Santa Clara","20%","18-21%","-1.29"
"Santa Cruz","21%","17-24%","-0.98"
"Shasta","27%","23-32%","0.86"
"Sierra","24%","18-31%","-0.09"
"Siskiyou","23%","18-28%","-0.34"
"Solano","30%","26-34%","1.50"
"Sonoma","22%","19-25%","-0.70"
"Stanislaus","32%","29-36%","2.31"
"Sutter","28%","22-34%","1.08"
"Tehama","29%","23-35%","1.30"
"Trinity","27%","21-34%","0.66"
"Tulare","30%","25-34%","1.50"
"Tuolumne","21%","16-26%","-0.98"
"Ventura","21%","18-23%","-0.98"
"Yolo","20%","16-24%","-1.10"
"Yuba","26%","20-32%","0.49"
