County,County Value,Error Margin,Z-Score
"Colorado","20%","&nbsp;",
"Adams","26%","24-28%","1.27"
"Alamosa","23%","19-27%","0.52"
"Arapahoe","21%","20-23%","0.07"
"Archuleta","16%","13-20%","-1.13"
"Baca","21%","16-26%","-0.03"
"Bent","24%","19-31%","0.92"
"Boulder","13%","12-15%","-1.85"
"Broomfield","18%","15-22%","-0.63"
"Chaffee","19%","16-23%","-0.40"
"Cheyenne","25%","19-31%","0.94"
"Clear Creek","17%","13-21%","-0.95"
"Conejos","22%","17-27%","0.19"
"Costilla","21%","17-27%","0.17"
"Crowley","23%","17-30%","0.47"
"Custer","21%","16-26%","0.00"
"Delta","22%","18-25%","0.19"
"Denver","17%","16-19%","-0.93"
"Dolores","21%","16-27%","0.09"
"Douglas","17%","15-19%","-0.95"
"Eagle","11%","8-13%","-2.50"
"El Paso","21%","20-23%","0.17"
"Elbert","19%","16-22%","-0.45"
"Fremont","23%","20-26%","0.57"
"Garfield","18%","15-21%","-0.75"
"Gilpin","19%","14-24%","-0.48"
"Grand","17%","13-22%","-0.83"
"Gunnison","16%","12-20%","-1.18"
"Hinsdale","21%","15-28%","NA"
"Huerfano","21%","17-26%","0.02"
"Jackson","21%","16-27%","NA"
"Jefferson","19%","17-20%","-0.53"
"Kiowa","21%","15-27%","0.07"
"Kit Carson","27%","22-32%","1.44"
"La Plata","17%","14-20%","-0.98"
"Lake","19%","14-24%","-0.45"
"Larimer","19%","17-21%","-0.45"
"Las Animas","21%","17-26%","0.17"
"Lincoln","26%","21-31%","1.27"
"Logan","25%","21-29%","0.94"
"Mesa","23%","21-26%","0.57"
"Mineral","19%","14-25%","NA"
"Moffat","26%","22-31%","1.37"
"Montezuma","22%","18-26%","0.32"
"Montrose","20%","17-24%","-0.15"
"Morgan","28%","24-32%","1.77"
"Otero","27%","23-32%","1.59"
"Ouray","17%","13-22%","-0.88"
"Park","20%","16-24%","-0.20"
"Phillips","23%","18-28%","0.54"
"Pitkin","14%","10-18%","-1.75"
"Prowers","27%","21-32%","1.52"
"Pueblo","26%","24-29%","1.39"
"Rio Blanco","23%","18-27%","0.49"
"Rio Grande","23%","19-28%","0.57"
"Routt","14%","12-17%","-1.65"
"Saguache","21%","16-26%","0.04"
"San Juan","20%","14-27%","NA"
"San Miguel","16%","12-22%","-1.08"
"Sedgwick","23%","17-29%","0.54"
"Summit","13%","9-16%","-2.05"
"Teller","18%","15-21%","-0.70"
"Washington","24%","19-30%","0.82"
"Weld","26%","23-28%","1.19"
"Yuma","28%","22-33%","1.74"
