County,County Value,Error Margin,Z-Score
"Florida","25%","&nbsp;",
"Alachua","25%","23-28%","-0.86"
"Baker","37%","33-41%","1.30"
"Bay","30%","27-33%","0.04"
"Bradford","37%","33-41%","1.32"
"Brevard","27%","24-29%","-0.64"
"Broward","24%","22-26%","-1.17"
"Calhoun","41%","36-45%","1.96"
"Charlotte","26%","23-30%","-0.70"
"Citrus","27%","24-30%","-0.53"
"Clay","29%","25-32%","-0.28"
"Collier","19%","16-21%","-2.05"
"Columbia","37%","34-42%","1.35"
"DeSoto","36%","31-40%","1.01"
"Dixie","33%","29-37%","0.47"
"Duval","30%","27-32%","-0.09"
"Escambia","31%","28-33%","0.09"
"Flagler","25%","22-28%","-0.99"
"Franklin","31%","27-36%","0.20"
"Gadsden","38%","34-42%","1.48"
"Gilchrist","32%","27-36%","0.27"
"Glades","34%","30-39%","0.77"
"Gulf","33%","28-37%","0.46"
"Hamilton","33%","28-37%","0.47"
"Hardee","34%","30-39%","0.80"
"Hendry","35%","31-40%","0.90"
"Hernando","32%","28-36%","0.31"
"Highlands","33%","29-37%","0.47"
"Hillsborough","28%","25-30%","-0.42"
"Holmes","32%","28-36%","0.36"
"Indian River","24%","21-28%","-1.06"
"Jackson","36%","32-40%","1.02"
"Jefferson","34%","30-37%","0.66"
"Lafayette","37%","33-42%","1.24"
"Lake","30%","27-33%","0.00"
"Lee","26%","23-28%","-0.83"
"Leon","28%","25-31%","-0.35"
"Levy","32%","29-36%","0.38"
"Liberty","39%","35-44%","1.67"
"Madison","34%","30-38%","0.73"
"Manatee","24%","21-27%","-1.08"
"Marion","29%","26-32%","-0.18"
"Martin","19%","17-22%","-1.94"
"Miami-Dade","20%","17-22%","-1.92"
"Monroe","21%","18-25%","-1.58"
"Nassau","28%","25-32%","-0.35"
"Okaloosa","25%","23-28%","-0.86"
"Okeechobee","31%","27-35%","0.16"
"Orange","24%","21-26%","-1.17"
"Osceola","29%","26-33%","-0.15"
"Palm Beach","23%","21-25%","-1.30"
"Pasco","30%","27-34%","0.05"
"Pinellas","25%","22-27%","-1.01"
"Polk","31%","28-34%","0.22"
"Putnam","35%","31-39%","0.95"
"Santa Rosa","26%","23-29%","-0.75"
"Sarasota","21%","19-24%","-1.63"
"Seminole","25%","22-28%","-1.01"
"St. Johns","23%","20-26%","-1.30"
"St. Lucie","29%","26-32%","-0.22"
"Sumter","28%","25-32%","-0.29"
"Suwannee","33%","30-37%","0.57"
"Taylor","39%","35-43%","1.59"
"Union","39%","35-44%","1.67"
"Volusia","28%","25-30%","-0.46"
"Wakulla","36%","33-40%","1.15"
"Walton","27%","24-31%","-0.51"
"Washington","39%","35-43%","1.61"
