County,County Value,Error Margin,Z-Score
"Georgia","29%","&nbsp;",
"Appling","35%","28-43%","1.16"
"Atkinson","36%","28-44%","1.32"
"Bacon","31%","24-39%","-0.04"
"Baker","32%","25-40%","0.25"
"Baldwin","34%","28-40%","0.75"
"Banks","27%","20-34%","-1.50"
"Barrow","35%","29-42%","1.20"
"Bartow","34%","29-40%","0.88"
"Ben Hill","36%","30-43%","1.45"
"Berrien","34%","28-41%","0.78"
"Bibb","31%","26-35%","-0.29"
"Bleckley","30%","24-37%","-0.48"
"Brantley","35%","28-42%","0.97"
"Brooks","35%","29-42%","1.23"
"Bryan","28%","22-35%","-1.02"
"Bulloch","35%","29-41%","0.97"
"Burke","32%","26-39%","0.25"
"Butts","31%","24-39%","-0.07"
"Calhoun","35%","27-43%","1.01"
"Camden","32%","26-38%","-0.01"
"Candler","32%","26-40%","0.21"
"Carroll","30%","25-35%","-0.55"
"Catoosa","27%","21-32%","-1.59"
"Charlton","31%","24-37%","-0.26"
"Chatham","29%","25-33%","-0.86"
"Chattahoochee","28%","20-37%","-1.12"
"Chattooga","36%","29-43%","1.29"
"Cherokee","26%","22-29%","-1.91"
"Clarke","25%","21-30%","-2.03"
"Clay","31%","24-39%","-0.13"
"Clayton","40%","36-43%","2.52"
"Clinch","30%","23-38%","-0.39"
"Cobb","22%","20-25%","-2.89"
"Coffee","32%","27-39%","0.25"
"Colquitt","37%","31-43%","1.67"
"Columbia","29%","25-33%","-0.80"
"Cook","29%","23-35%","-0.89"
"Coweta","27%","22-32%","-1.43"
"Crawford","28%","22-35%","-0.99"
"Crisp","30%","24-37%","-0.45"
"Dade","32%","25-40%","0.21"
"Dawson","29%","22-36%","-0.86"
"Decatur","31%","25-37%","-0.20"
"DeKalb","27%","24-29%","-1.59"
"Dodge","31%","25-38%","-0.10"
"Dooly","34%","27-41%","0.82"
"Dougherty","37%","32-42%","1.73"
"Douglas","34%","29-39%","0.75"
"Early","31%","24-37%","-0.29"
"Echols","29%","22-38%","-0.74"
"Effingham","34%","28-40%","0.69"
"Elbert","32%","26-40%","0.28"
"Emanuel","34%","27-40%","0.66"
"Evans","35%","28-43%","1.20"
"Fannin","26%","21-32%","-1.72"
"Fayette","29%","25-34%","-0.74"
"Floyd","29%","24-33%","-0.96"
"Forsyth","26%","22-31%","-1.72"
"Franklin","27%","21-33%","-1.56"
"Fulton","22%","20-24%","-2.89"
"Gilmer","27%","21-33%","-1.59"
"Glascock","31%","23-39%","-0.32"
"Glynn","28%","23-33%","-1.21"
"Gordon","29%","23-36%","-0.70"
"Grady","31%","25-38%","-0.13"
"Greene","30%","24-37%","-0.42"
"Gwinnett","27%","25-30%","-1.31"
"Habersham","32%","26-38%","-0.01"
"Hall","26%","22-30%","-1.84"
"Hancock","36%","28-45%","1.42"
"Haralson","29%","23-35%","-0.93"
"Harris","30%","24-36%","-0.58"
"Hart","30%","23-37%","-0.64"
"Heard","31%","23-39%","-0.23"
"Henry","30%","26-34%","-0.58"
"Houston","32%","28-37%","0.25"
"Irwin","30%","24-38%","-0.55"
"Jackson","29%","23-35%","-0.93"
"Jasper","31%","24-38%","-0.29"
"Jeff Davis","30%","24-38%","-0.36"
"Jefferson","38%","31-46%","2.18"
"Jenkins","32%","25-40%","0.25"
"Johnson","34%","28-42%","0.91"
"Jones","33%","26-39%","0.37"
"Lamar","33%","26-41%","0.47"
"Lanier","32%","26-40%","0.15"
"Laurens","35%","31-40%","1.23"
"Lee","32%","26-39%","0.21"
"Liberty","34%","28-41%","0.72"
"Lincoln","33%","26-40%","0.53"
"Long","30%","23-37%","-0.58"
"Lowndes","28%","25-33%","-1.02"
"Lumpkin","30%","23-38%","-0.45"
"Macon","35%","28-42%","0.97"
"Madison","32%","26-39%","0.28"
"Marion","33%","26-41%","0.40"
"McDuffie","35%","28-42%","1.10"
"McIntosh","31%","25-38%","-0.10"
"Meriwether","35%","28-42%","1.16"
"Miller","31%","24-39%","-0.10"
"Mitchell","31%","25-38%","-0.23"
"Monroe","32%","25-39%","0.12"
"Montgomery","37%","31-45%","1.83"
"Morgan","28%","22-35%","-1.02"
"Murray","29%","23-35%","-0.83"
"Muscogee","32%","29-36%","0.18"
"Newton","34%","28-40%","0.69"
"Oconee","31%","25-37%","-0.20"
"Oglethorpe","30%","23-37%","-0.55"
"Paulding","28%","23-34%","-0.99"
"Peach","35%","28-43%","1.04"
"Pickens","25%","19-31%","-2.07"
"Pierce","30%","23-37%","-0.61"
"Pike","28%","22-36%","-0.99"
"Polk","29%","23-36%","-0.77"
"Pulaski","32%","25-39%","0.09"
"Putnam","32%","26-39%","0.28"
"Quitman","33%","26-40%","0.34"
"Rabun","32%","25-39%","0.18"
"Randolph","36%","28-43%","1.35"
"Richmond","35%","31-39%","1.13"
"Rockdale","35%","29-41%","0.97"
"Schley","29%","22-37%","-0.77"
"Screven","36%","29-43%","1.32"
"Seminole","30%","23-37%","-0.64"
"Spalding","35%","28-41%","0.94"
"Stephens","28%","22-35%","-1.08"
"Stewart","34%","27-43%","0.88"
"Sumter","34%","28-41%","0.78"
"Talbot","34%","27-42%","0.88"
"Taliaferro","34%","26-43%","0.82"
"Tattnall","35%","28-43%","1.20"
"Taylor","31%","24-38%","-0.32"
"Telfair","32%","25-39%","0.02"
"Terrell","35%","27-43%","0.94"
"Thomas","33%","27-38%","0.34"
"Tift","35%","30-41%","1.04"
"Toombs","33%","27-40%","0.44"
"Towns","26%","20-33%","-1.62"
"Treutlen","33%","26-41%","0.59"
"Troup","29%","24-35%","-0.67"
"Turner","34%","28-42%","0.88"
"Twiggs","31%","24-38%","-0.26"
"Union","27%","21-33%","-1.43"
"Upson","34%","27-42%","0.82"
"Walker","33%","27-39%","0.50"
"Walton","31%","26-36%","-0.29"
"Ware","36%","29-42%","1.26"
"Warren","34%","27-42%","0.88"
"Washington","35%","27-42%","0.94"
"Wayne","32%","26-39%","0.25"
"Webster","32%","25-40%","0.15"
"Wheeler","34%","27-41%","0.72"
"White","28%","21-35%","-1.08"
"Whitfield","30%","25-35%","-0.58"
"Wilcox","32%","26-39%","0.25"
"Wilkes","33%","26-40%","0.31"
"Wilkinson","34%","27-42%","0.66"
"Worth","37%","31-45%","1.86"
