County,County Value,Error Margin,Z-Score
"Idaho","28%","&nbsp;",
"Ada","25%","23-26%","-1.26"
"Adams","29%","23-36%","0.18"
"Bannock","28%","25-31%","-0.18"
"Bear Lake","29%","24-36%","0.12"
"Benewah","29%","24-34%","-0.06"
"Bingham","35%","31-39%","1.82"
"Blaine","19%","16-23%","-2.81"
"Boise","24%","19-29%","-1.52"
"Bonner","26%","23-29%","-0.94"
"Bonneville","31%","28-34%","0.56"
"Boundary","27%","22-33%","-0.44"
"Butte","29%","22-36%","-0.06"
"Camas","26%","20-34%","NA"
"Canyon","32%","30-35%","0.94"
"Caribou","28%","22-34%","-0.32"
"Cassia","31%","26-36%","0.59"
"Clark","33%","25-42%","NA"
"Clearwater","29%","25-34%","0.12"
"Custer","27%","22-33%","-0.44"
"Elmore","30%","24-36%","0.24"
"Franklin","28%","23-34%","-0.15"
"Fremont","27%","22-32%","-0.56"
"Gem","27%","22-32%","-0.53"
"Gooding","32%","26-38%","0.88"
"Idaho","27%","24-31%","-0.41"
"Jefferson","30%","26-36%","0.47"
"Jerome","32%","27-37%","0.82"
"Kootenai","25%","23-27%","-1.20"
"Latah","27%","23-30%","-0.64"
"Lemhi","24%","19-29%","-1.46"
"Lewis","29%","23-35%","-0.09"
"Lincoln","32%","25-40%","0.91"
"Madison","25%","21-30%","-1.05"
"Minidoka","35%","30-40%","1.73"
"Nez Perce","32%","29-36%","1.06"
"Oneida","36%","29-43%","2.08"
"Owyhee","32%","26-38%","0.97"
"Payette","32%","27-38%","1.03"
"Power","31%","25-38%","0.76"
"Shoshone","31%","26-36%","0.62"
"Teton","27%","21-33%","-0.64"
"Twin Falls","27%","24-30%","-0.61"
"Valley","24%","19-31%","-1.29"
"Washington","32%","26-37%","0.79"
