County,County Value,Error Margin,Z-Score
"Illinois","27%","&nbsp;",
"Adams","35%","29-41%","1.60"
"Alexander","32%","25-40%","0.62"
"Bond","31%","24-38%","-0.19"
"Boone","34%","27-42%","1.34"
"Brown","32%","24-40%","0.23"
"Bureau","30%","24-37%","-0.45"
"Calhoun","30%","23-38%","-0.24"
"Carroll","32%","24-39%","0.28"
"Cass","29%","22-37%","-0.92"
"Champaign","27%","22-31%","-1.86"
"Christian","33%","27-40%","1.04"
"Clark","33%","26-42%","0.92"
"Clay","32%","24-39%","0.23"
"Clinton","28%","22-34%","-1.34"
"Coles","28%","22-35%","-1.39"
"Cook","25%","24-26%","-2.58"
"Crawford","34%","27-43%","1.26"
"Cumberland","30%","23-37%","-0.58"
"De Witt","32%","24-40%","0.45"
"DeKalb","27%","22-33%","-1.52"
"Douglas","31%","24-38%","-0.07"
"DuPage","24%","21-27%","-3.01"
"Edgar","33%","26-40%","0.70"
"Edwards","32%","24-40%","0.36"
"Effingham","29%","23-36%","-0.70"
"Fayette","37%","30-45%","2.62"
"Ford","30%","23-37%","-0.58"
"Franklin","31%","24-38%","-0.19"
"Fulton","32%","26-39%","0.62"
"Gallatin","31%","23-40%","0.02"
"Greene","30%","22-38%","-0.53"
"Grundy","31%","25-39%","0.19"
"Hamilton","29%","22-38%","-0.70"
"Hancock","29%","23-36%","-0.79"
"Hardin","33%","25-42%","0.75"
"Henderson","32%","25-41%","0.62"
"Henry","31%","25-37%","-0.11"
"Iroquois","33%","26-40%","0.70"
"Jackson","31%","24-38%","0.11"
"Jasper","31%","24-40%","0.02"
"Jefferson","33%","26-41%","1.00"
"Jersey","32%","25-39%","0.32"
"Jo Daviess","29%","23-37%","-0.79"
"Johnson","31%","23-39%","-0.15"
"Kane","26%","22-29%","-2.24"
"Kankakee","34%","28-40%","1.21"
"Kendall","35%","29-43%","1.90"
"Knox","25%","20-31%","-2.45"
"Lake","29%","26-33%","-0.79"
"LaSalle","29%","24-34%","-1.05"
"Lawrence","32%","25-41%","0.45"
"Lee","33%","26-41%","0.83"
"Livingston","31%","25-39%","0.19"
"Logan","31%","24-39%","-0.02"
"Macon","31%","26-36%","-0.15"
"Macoupin","33%","27-40%","0.92"
"Madison","33%","29-37%","0.83"
"Marion","36%","29-43%","2.11"
"Marshall","32%","25-40%","0.57"
"Mason","33%","25-41%","0.92"
"Massac","34%","27-42%","1.43"
"McDonough","29%","23-37%","-0.79"
"McHenry","28%","24-33%","-1.30"
"McLean","29%","25-34%","-0.83"
"Menard","31%","24-39%","-0.02"
"Mercer","31%","24-38%","-0.11"
"Monroe","33%","26-40%","0.83"
"Montgomery","29%","23-36%","-0.83"
"Morgan","31%","25-38%","0.11"
"Moultrie","31%","23-39%","-0.11"
"Ogle","29%","23-35%","-1.00"
"Peoria","29%","25-33%","-1.00"
"Perry","30%","23-39%","-0.24"
"Piatt","30%","24-38%","-0.24"
"Pike","32%","25-41%","0.53"
"Pope","31%","23-39%","-0.07"
"Pulaski","32%","25-41%","0.49"
"Putnam","31%","24-40%","0.19"
"Randolph","30%","25-37%","-0.28"
"Richland","31%","24-39%","-0.11"
"Rock Island","31%","26-36%","-0.07"
"Saline","32%","25-40%","0.49"
"Sangamon","30%","26-34%","-0.45"
"Schuyler","31%","23-39%","-0.11"
"Scott","31%","24-40%","0.19"
"Shelby","32%","26-40%","0.62"
"St. Clair","32%","28-36%","0.53"
"Stark","32%","24-40%","0.45"
"Stephenson","29%","23-35%","-0.92"
"Tazewell","29%","25-34%","-0.83"
"Union","31%","24-40%","0.15"
"Vermilion","37%","31-43%","2.71"
"Wabash","33%","25-41%","0.70"
"Warren","34%","26-42%","1.21"
"Washington","31%","24-38%","0.02"
"Wayne","31%","24-39%","0.02"
"White","31%","23-40%","0.19"
"Whiteside","27%","21-33%","-1.77"
"Will","28%","25-31%","-1.22"
"Williamson","32%","25-39%","0.28"
"Winnebago","32%","27-36%","0.23"
"Woodford","32%","25-39%","0.40"
