County,County Value,Error Margin,Z-Score
"Indiana","31%","&nbsp;",
"Adams","30%","25-37%","-0.52"
"Allen","29%","26-31%","-1.14"
"Bartholomew","32%","27-37%","0.17"
"Benton","33%","25-42%","0.30"
"Blackford","36%","29-42%","1.27"
"Boone","28%","22-34%","-1.41"
"Brown","31%","24-39%","-0.31"
"Carroll","29%","23-35%","-1.10"
"Cass","34%","29-40%","0.86"
"Clark","31%","27-36%","-0.25"
"Clay","33%","27-39%","0.24"
"Clinton","30%","24-36%","-0.62"
"Crawford","35%","28-41%","0.92"
"Daviess","33%","27-40%","0.51"
"Dearborn","30%","25-36%","-0.62"
"Decatur","30%","24-37%","-0.66"
"DeKalb","31%","26-37%","-0.25"
"Delaware","32%","28-36%","-0.04"
"Dubois","28%","23-33%","-1.45"
"Elkhart","33%","29-36%","0.24"
"Fayette","32%","26-38%","0.03"
"Floyd","31%","26-36%","-0.42"
"Fountain","31%","25-36%","-0.42"
"Franklin","26%","21-32%","-2.10"
"Fulton","37%","32-43%","1.89"
"Gibson","32%","27-38%","0.10"
"Grant","35%","30-40%","1.16"
"Greene","32%","27-38%","0.20"
"Hamilton","25%","22-28%","-2.31"
"Hancock","35%","29-40%","1.03"
"Harrison","35%","28-41%","0.99"
"Hendricks","30%","25-34%","-0.73"
"Henry","32%","27-38%","0.06"
"Howard","36%","31-41%","1.27"
"Huntington","32%","27-38%","0.13"
"Jackson","39%","33-46%","2.57"
"Jasper","29%","23-36%","-0.93"
"Jay","35%","29-41%","1.16"
"Jefferson","35%","30-41%","1.13"
"Jennings","33%","27-41%","0.55"
"Johnson","32%","28-37%","0.17"
"Knox","32%","26-38%","-0.04"
"Kosciusko","30%","26-35%","-0.55"
"LaGrange","34%","28-40%","0.79"
"Lake","36%","33-38%","1.27"
"LaPorte","34%","29-38%","0.65"
"Lawrence","38%","32-44%","1.99"
"Madison","34%","30-38%","0.72"
"Marion","32%","31-34%","0.10"
"Marshall","29%","23-34%","-1.14"
"Martin","35%","28-42%","0.96"
"Miami","35%","29-41%","1.13"
"Monroe","21%","18-25%","-3.72"
"Montgomery","34%","28-40%","0.58"
"Morgan","34%","28-39%","0.65"
"Newton","35%","28-43%","1.06"
"Noble","34%","29-40%","0.75"
"Ohio","32%","25-40%","0.06"
"Orange","32%","27-37%","0.00"
"Owen","32%","26-39%","0.20"
"Parke","32%","26-38%","0.00"
"Perry","30%","25-36%","-0.49"
"Pike","34%","27-42%","0.75"
"Porter","31%","27-35%","-0.42"
"Posey","32%","25-39%","-0.04"
"Pulaski","32%","26-38%","0.03"
"Putnam","32%","25-38%","-0.11"
"Randolph","34%","29-39%","0.68"
"Ripley","32%","28-37%","0.13"
"Rush","33%","27-39%","0.27"
"Scott","29%","23-35%","-1.00"
"Shelby","32%","26-38%","-0.11"
"Spencer","29%","24-34%","-1.07"
"St. Joseph","29%","26-32%","-1.04"
"Starke","36%","31-41%","1.34"
"Steuben","34%","28-40%","0.61"
"Sullivan","33%","27-40%","0.41"
"Switzerland","31%","24-38%","-0.31"
"Tippecanoe","25%","22-29%","-2.34"
"Tipton","32%","25-38%","-0.11"
"Union","32%","25-39%","-0.04"
"Vanderburgh","34%","31-38%","0.82"
"Vermillion","31%","24-38%","-0.31"
"Vigo","33%","29-38%","0.37"
"Wabash","31%","26-37%","-0.21"
"Warren","27%","21-34%","-1.55"
"Warrick","28%","23-33%","-1.31"
"Washington","28%","22-34%","-1.35"
"Wayne","31%","26-35%","-0.42"
"Wells","28%","23-34%","-1.28"
"White","34%","29-40%","0.79"
"Whitley","32%","27-38%","0.17"
