County,County Value,Error Margin,Z-Score
"Iowa","31%","&nbsp;",
"Adair","31%","24-38%","-0.30"
"Adams","32%","25-41%","0.24"
"Allamakee","30%","24-37%","-0.59"
"Appanoose","32%","26-38%","-0.09"
"Audubon","33%","26-40%","0.49"
"Benton","33%","28-39%","0.62"
"Black Hawk","29%","26-32%","-1.22"
"Boone","32%","26-37%","-0.05"
"Bremer","32%","26-38%","-0.05"
"Buchanan","33%","27-39%","0.49"
"Buena Vista","31%","27-35%","-0.43"
"Butler","33%","27-39%","0.41"
"Calhoun","33%","27-40%","0.58"
"Carroll","30%","25-35%","-0.89"
"Cass","32%","26-38%","0.16"
"Cedar","33%","27-39%","0.45"
"Cerro Gordo","31%","27-36%","-0.13"
"Cherokee","36%","30-42%","1.66"
"Chickasaw","31%","24-37%","-0.47"
"Clarke","30%","23-37%","-0.89"
"Clay","31%","25-36%","-0.47"
"Clayton","35%","29-41%","1.20"
"Clinton","31%","27-36%","-0.22"
"Crawford","33%","28-38%","0.33"
"Dallas","31%","27-35%","-0.26"
"Davis","31%","24-38%","-0.47"
"Decatur","31%","24-38%","-0.43"
"Delaware","32%","26-38%","0.12"
"Des Moines","32%","27-36%","-0.05"
"Dickinson","33%","27-40%","0.45"
"Dubuque","28%","24-31%","-1.68"
"Emmet","35%","27-42%","1.16"
"Fayette","39%","33-44%","2.84"
"Floyd","33%","27-39%","0.49"
"Franklin","33%","26-41%","0.58"
"Fremont","33%","26-40%","0.54"
"Greene","29%","23-35%","-1.31"
"Grundy","29%","23-36%","-1.10"
"Guthrie","35%","28-42%","1.33"
"Hamilton","30%","24-37%","-0.80"
"Hancock","33%","26-40%","0.37"
"Hardin","33%","27-39%","0.45"
"Harrison","32%","26-38%","0.12"
"Henry","33%","28-39%","0.62"
"Howard","32%","25-39%","0.20"
"Humboldt","33%","27-40%","0.58"
"Ida","31%","24-38%","-0.51"
"Iowa","30%","24-36%","-0.93"
"Jackson","33%","27-38%","0.37"
"Jasper","34%","30-39%","1.08"
"Jefferson","28%","22-34%","-1.68"
"Johnson","23%","20-26%","-3.81"
"Jones","32%","26-38%","-0.01"
"Keokuk","29%","22-36%","-1.22"
"Kossuth","31%","25-38%","-0.13"
"Lee","32%","27-37%","-0.05"
"Linn","30%","28-33%","-0.68"
"Louisa","35%","29-42%","1.37"
"Lucas","32%","25-39%","0.03"
"Lyon","30%","24-37%","-0.55"
"Madison","34%","28-41%","0.91"
"Mahaska","31%","25-37%","-0.43"
"Marion","31%","26-36%","-0.34"
"Marshall","33%","29-38%","0.62"
"Mills","34%","27-40%","0.79"
"Mitchell","31%","25-37%","-0.51"
"Monona","30%","23-37%","-0.89"
"Monroe","33%","26-40%","0.37"
"Montgomery","34%","28-41%","1.04"
"Muscatine","35%","31-40%","1.54"
"O'Brien","31%","25-37%","-0.34"
"Osceola","32%","25-40%","0.20"
"Page","33%","26-40%","0.45"
"Palo Alto","33%","26-41%","0.62"
"Plymouth","33%","28-40%","0.66"
"Pocahontas","31%","24-38%","-0.51"
"Polk","29%","27-31%","-1.05"
"Pottawattamie","37%","34-41%","2.38"
"Poweshiek","31%","25-37%","-0.51"
"Ringgold","35%","28-43%","1.41"
"Sac","31%","25-38%","-0.22"
"Scott","31%","28-34%","-0.26"
"Shelby","31%","25-37%","-0.38"
"Sioux","28%","23-33%","-1.68"
"Story","26%","22-29%","-2.56"
"Tama","33%","27-39%","0.37"
"Taylor","30%","23-38%","-0.68"
"Union","37%","30-44%","2.25"
"Van Buren","32%","25-40%","0.20"
"Wapello","33%","27-39%","0.49"
"Warren","31%","26-36%","-0.51"
"Washington","31%","25-37%","-0.30"
"Wayne","31%","24-38%","-0.51"
"Webster","31%","26-35%","-0.51"
"Winnebago","32%","25-39%","0.03"
"Winneshiek","25%","20-30%","-2.73"
"Woodbury","34%","30-38%","0.83"
"Worth","34%","27-42%","0.83"
"Wright","34%","27-42%","1.08"
