County,County Value,Error Margin,Z-Score
"Kansas","30%","&nbsp;",
"Allen","34%","30-39%","0.77"
"Anderson","32%","26-37%","-0.31"
"Atchison","30%","26-34%","-0.90"
"Barber","37%","30-44%","1.66"
"Barton","35%","31-40%","1.14"
"Bourbon","36%","31-41%","1.40"
"Brown","31%","26-35%","-0.64"
"Butler","31%","29-34%","-0.38"
"Chase","30%","24-37%","-0.82"
"Chautauqua","33%","26-39%","0.10"
"Cherokee","39%","34-44%","2.36"
"Cheyenne","33%","26-40%","0.21"
"Clark","30%","23-37%","-0.86"
"Clay","36%","30-42%","1.29"
"Cloud","33%","28-38%","0.18"
"Coffey","33%","28-38%","0.21"
"Comanche","34%","27-41%","0.58"
"Cowley","37%","33-41%","1.66"
"Crawford","35%","31-38%","0.88"
"Decatur","36%","29-43%","1.29"
"Dickinson","33%","29-37%","0.21"
"Doniphan","31%","26-37%","-0.45"
"Douglas","23%","21-26%","-3.34"
"Edwards","33%","26-39%","0.07"
"Elk","35%","28-41%","0.88"
"Ellis","29%","25-33%","-1.12"
"Ellsworth","33%","27-39%","0.07"
"Finney","35%","31-40%","0.95"
"Ford","33%","28-37%","0.07"
"Franklin","33%","30-37%","0.40"
"Geary","31%","27-35%","-0.53"
"Gove","32%","25-38%","-0.27"
"Graham","30%","24-37%","-0.86"
"Grant","33%","27-40%","0.36"
"Gray","34%","27-41%","0.58"
"Greeley","31%","25-39%","NA"
"Greenwood","32%","27-38%","-0.16"
"Hamilton","38%","30-46%","1.92"
"Harper","34%","28-40%","0.62"
"Harvey","32%","29-36%","0.03"
"Haskell","34%","26-41%","0.44"
"Hodgeman","31%","24-39%","NA"
"Jackson","35%","30-39%","0.81"
"Jefferson","31%","28-36%","-0.34"
"Jewell","30%","24-36%","-0.82"
"Johnson","23%","22-24%","-3.34"
"Kearny","30%","24-37%","-0.75"
"Kingman","32%","27-38%","-0.01"
"Kiowa","32%","25-39%","-0.31"
"Labette","36%","32-41%","1.47"
"Lane","33%","26-40%","0.07"
"Leavenworth","31%","28-34%","-0.56"
"Lincoln","31%","24-38%","-0.68"
"Linn","32%","27-37%","-0.23"
"Logan","32%","25-39%","-0.12"
"Lyon","34%","31-38%","0.66"
"Marion","33%","29-38%","0.32"
"Marshall","34%","30-39%","0.73"
"McPherson","30%","27-33%","-0.90"
"Meade","26%","20-32%","-2.49"
"Miami","33%","29-36%","0.10"
"Mitchell","32%","27-38%","-0.08"
"Montgomery","35%","32-39%","1.03"
"Morris","35%","30-41%","1.07"
"Morton","31%","24-38%","-0.68"
"Nemaha","31%","26-36%","-0.53"
"Neosho","33%","28-38%","0.18"
"Ness","31%","25-37%","-0.68"
"Norton","34%","28-40%","0.58"
"Osage","36%","32-41%","1.44"
"Osborne","34%","27-40%","0.44"
"Ottawa","37%","31-43%","1.73"
"Pawnee","31%","26-37%","-0.45"
"Phillips","28%","23-34%","-1.56"
"Pottawatomie","32%","28-35%","-0.27"
"Pratt","33%","28-38%","0.21"
"Rawlins","33%","27-39%","0.07"
"Reno","33%","31-36%","0.36"
"Republic","29%","23-34%","-1.34"
"Rice","31%","26-37%","-0.45"
"Riley","24%","22-27%","-2.97"
"Rooks","32%","26-38%","-0.31"
"Rush","31%","25-38%","-0.45"
"Russell","30%","24-36%","-0.90"
"Saline","33%","30-36%","0.07"
"Scott","31%","25-38%","-0.42"
"Sedgwick","31%","29-32%","-0.68"
"Seward","35%","30-41%","0.95"
"Shawnee","32%","31-34%","-0.01"
"Sheridan","32%","25-39%","-0.31"
"Sherman","32%","26-38%","-0.31"
"Smith","33%","27-39%","0.14"
"Stafford","33%","27-40%","0.29"
"Stanton","30%","22-38%","NA"
"Stevens","34%","28-42%","0.73"
"Sumner","34%","30-38%","0.73"
"Thomas","32%","27-38%","-0.01"
"Trego","30%","24-36%","-0.90"
"Wabaunsee","32%","27-38%","-0.12"
"Wallace","33%","25-41%","NA"
"Washington","32%","26-38%","-0.12"
"Wichita","31%","25-37%","-0.68"
"Wilson","31%","26-36%","-0.42"
"Woodson","30%","24-37%","-0.71"
"Wyandotte","38%","36-40%","2.03"
