County,County Value,Error Margin,Z-Score
"Kentucky","32%","&nbsp;",
"Adair","32%","26-38%","-0.63"
"Allen","35%","29-42%","0.38"
"Anderson","33%","26-40%","-0.28"
"Ballard","35%","28-42%","0.44"
"Barren","33%","28-38%","-0.41"
"Bath","31%","26-36%","-0.88"
"Bell","36%","30-42%","0.63"
"Boone","30%","26-34%","-1.23"
"Bourbon","34%","27-42%","0.06"
"Boyd","37%","33-41%","0.95"
"Boyle","32%","26-38%","-0.73"
"Bracken","31%","26-36%","-0.98"
"Breathitt","43%","37-49%","2.87"
"Breckinridge","37%","31-44%","1.10"
"Bullitt","33%","28-38%","-0.38"
"Butler","36%","29-43%","0.54"
"Caldwell","33%","27-40%","-0.19"
"Calloway","28%","24-33%","-1.80"
"Campbell","33%","29-37%","-0.38"
"Carlisle","33%","26-41%","-0.25"
"Carroll","38%","31-46%","1.39"
"Carter","34%","29-38%","-0.09"
"Casey","36%","30-43%","0.79"
"Christian","37%","32-41%","0.88"
"Clark","32%","26-38%","-0.57"
"Clay","33%","27-40%","-0.19"
"Clinton","33%","27-40%","-0.19"
"Crittenden","32%","25-39%","-0.66"
"Cumberland","34%","28-41%","0.09"
"Daviess","29%","26-32%","-1.58"
"Edmonson","35%","29-42%","0.35"
"Elliott","34%","28-42%","0.19"
"Estill","32%","25-39%","-0.73"
"Fayette","26%","24-29%","-2.36"
"Fleming","35%","31-40%","0.35"
"Floyd","38%","34-42%","1.26"
"Franklin","33%","28-38%","-0.25"
"Fulton","35%","28-42%","0.47"
"Gallatin","31%","24-39%","-0.85"
"Garrard","35%","27-42%","0.22"
"Grant","34%","28-41%","0.13"
"Graves","29%","25-34%","-1.42"
"Grayson","36%","30-42%","0.69"
"Green","33%","27-40%","-0.25"
"Greenup","38%","34-43%","1.45"
"Hancock","33%","26-40%","-0.38"
"Hardin","32%","28-35%","-0.73"
"Harlan","37%","31-42%","0.88"
"Harrison","30%","24-37%","-1.26"
"Hart","35%","29-42%","0.44"
"Henderson","32%","27-37%","-0.60"
"Henry","32%","24-40%","-0.73"
"Hickman","35%","27-42%","0.22"
"Hopkins","35%","30-40%","0.28"
"Jackson","41%","35-48%","2.33"
"Jefferson","31%","30-33%","-0.82"
"Jessamine","31%","25-37%","-0.85"
"Johnson","39%","34-44%","1.70"
"Kenton","28%","25-31%","-1.89"
"Knott","41%","35-46%","2.17"
"Knox","37%","31-42%","0.91"
"Larue","31%","25-37%","-1.04"
"Laurel","35%","31-39%","0.28"
"Lawrence","41%","36-47%","2.40"
"Lee","30%","23-36%","-1.36"
"Leslie","40%","34-46%","1.92"
"Letcher","38%","33-43%","1.29"
"Lewis","37%","33-42%","1.04"
"Lincoln","29%","23-36%","-1.42"
"Livingston","31%","25-38%","-0.91"
"Logan","36%","30-41%","0.54"
"Lyon","33%","27-41%","-0.16"
"Madison","30%","25-34%","-1.32"
"Magoffin","34%","27-40%","-0.09"
"Marion","33%","27-39%","-0.22"
"Marshall","33%","27-38%","-0.41"
"Martin","41%","34-48%","2.17"
"Mason","34%","29-38%","-0.06"
"McCracken","32%","28-36%","-0.54"
"McCreary","34%","29-41%","0.13"
"McLean","36%","29-43%","0.57"
"Meade","36%","30-41%","0.66"
"Menifee","33%","28-39%","-0.16"
"Mercer","33%","26-39%","-0.38"
"Metcalfe","34%","28-41%","0.09"
"Monroe","31%","25-38%","-0.82"
"Montgomery","33%","29-38%","-0.22"
"Morgan","35%","31-40%","0.47"
"Muhlenberg","37%","32-42%","0.98"
"Nelson","32%","27-38%","-0.44"
"Nicholas","32%","24-40%","-0.66"
"Ohio","40%","34-46%","1.95"
"Oldham","30%","25-36%","-1.17"
"Owen","32%","25-39%","-0.73"
"Owsley","37%","30-45%","1.07"
"Pendleton","30%","24-37%","-1.29"
"Perry","38%","34-42%","1.32"
"Pike","38%","34-41%","1.23"
"Powell","35%","28-43%","0.35"
"Pulaski","35%","31-39%","0.28"
"Robertson","35%","28-42%","0.25"
"Rockcastle","39%","32-45%","1.54"
"Rowan","34%","30-39%","0.16"
"Russell","34%","28-40%","-0.03"
"Scott","31%","25-36%","-1.01"
"Shelby","34%","28-41%","0.00"
"Simpson","32%","25-39%","-0.57"
"Spencer","27%","21-34%","-2.05"
"Taylor","37%","31-42%","0.88"
"Todd","33%","27-39%","-0.38"
"Trigg","29%","23-35%","-1.61"
"Trimble","35%","26-44%","0.22"
"Union","33%","27-40%","-0.19"
"Warren","29%","26-33%","-1.45"
"Washington","33%","27-41%","-0.13"
"Wayne","35%","30-41%","0.41"
"Webster","33%","27-40%","-0.22"
"Whitley","36%","30-41%","0.54"
"Wolfe","33%","26-39%","-0.41"
"Woodford","31%","25-37%","-0.95"
