County,County Value,Error Margin,Z-Score
"Maine","28%","&nbsp;",
"Androscoggin","32%","30-35%","0.93"
"Aroostook","34%","32-36%","1.31"
"Cumberland","22%","21-23%","-1.76"
"Franklin","30%","27-32%","0.23"
"Hancock","24%","22-26%","-1.29"
"Kennebec","30%","29-32%","0.41"
"Knox","24%","22-26%","-1.29"
"Lincoln","24%","22-26%","-1.24"
"Oxford","32%","29-34%","0.75"
"Penobscot","31%","29-33%","0.56"
"Piscataquis","31%","28-35%","0.67"
"Sagadahoc","26%","23-29%","-0.78"
"Somerset","34%","31-37%","1.31"
"Waldo","29%","27-32%","0.15"
"Washington","31%","29-33%","0.54"
"York","27%","25-28%","-0.49"
