County,County Value,Error Margin,Z-Score
"Michigan","31%","&nbsp;",
"Alcona","31%","25-37%","-0.57"
"Alger","32%","27-39%","-0.02"
"Allegan","32%","28-37%","-0.02"
"Alpena","33%","27-39%","0.18"
"Antrim","32%","26-38%","-0.23"
"Arenac","34%","27-41%","0.42"
"Baraga","34%","28-41%","0.63"
"Barry","34%","28-39%","0.46"
"Bay","33%","28-39%","0.36"
"Benzie","31%","25-37%","-0.50"
"Berrien","37%","33-40%","1.45"
"Branch","35%","29-42%","0.94"
"Calhoun","35%","30-39%","0.80"
"Cass","35%","30-41%","0.94"
"Charlevoix","28%","23-34%","-1.36"
"Cheboygan","32%","28-37%","-0.09"
"Chippewa","38%","34-42%","1.90"
"Clare","31%","25-38%","-0.40"
"Clinton","33%","28-38%","0.12"
"Crawford","32%","25-39%","-0.26"
"Delta","33%","29-38%","0.29"
"Dickinson","30%","24-36%","-0.71"
"Eaton","35%","30-39%","0.80"
"Emmet","28%","25-32%","-1.39"
"Genesee","36%","33-39%","1.25"
"Gladwin","36%","29-42%","1.11"
"Gogebic","30%","24-36%","-0.88"
"Grand Traverse","28%","24-32%","-1.49"
"Gratiot","36%","30-43%","1.21"
"Hillsdale","32%","27-38%","-0.06"
"Houghton","31%","26-37%","-0.47"
"Huron","31%","25-38%","-0.43"
"Ingham","30%","27-33%","-0.95"
"Ionia","36%","31-42%","1.28"
"Iosco","34%","28-39%","0.39"
"Iron","31%","25-38%","-0.50"
"Isabella","30%","26-34%","-0.84"
"Jackson","33%","29-37%","0.32"
"Kalamazoo","30%","27-33%","-0.84"
"Kalkaska","32%","25-40%","-0.06"
"Kent","29%","27-32%","-1.05"
"Keweenaw","32%","24-40%","-0.23"
"Lake","33%","26-40%","0.18"
"Lapeer","30%","25-36%","-0.67"
"Leelanau","23%","19-28%","-3.24"
"Lenawee","33%","28-37%","0.05"
"Livingston","29%","25-33%","-1.25"
"Luce","36%","30-42%","1.14"
"Mackinac","33%","28-37%","0.08"
"Macomb","33%","30-35%","0.05"
"Manistee","34%","28-41%","0.63"
"Marquette","29%","26-33%","-1.05"
"Mason","29%","24-36%","-1.05"
"Mecosta","33%","27-40%","0.29"
"Menominee","34%","29-40%","0.70"
"Midland","32%","27-37%","-0.23"
"Missaukee","33%","26-42%","0.36"
"Monroe","34%","29-38%","0.39"
"Montcalm","34%","28-39%","0.49"
"Montmorency","32%","25-39%","-0.19"
"Muskegon","37%","33-41%","1.49"
"Newaygo","35%","30-41%","1.01"
"Oakland","26%","25-28%","-2.18"
"Oceana","34%","27-41%","0.60"
"Ogemaw","36%","30-43%","1.35"
"Ontonagon","34%","28-42%","0.70"
"Osceola","34%","28-41%","0.53"
"Oscoda","33%","26-41%","0.36"
"Otsego","36%","29-43%","1.11"
"Ottawa","26%","23-29%","-2.28"
"Presque Isle","33%","27-39%","0.08"
"Roscommon","32%","26-38%","-0.26"
"Saginaw","40%","36-44%","2.51"
"Sanilac","34%","29-41%","0.70"
"Schoolcraft","30%","25-36%","-0.77"
"Shiawassee","32%","27-38%","-0.06"
"St. Clair","32%","28-36%","-0.16"
"St. Joseph","34%","29-40%","0.63"
"Tuscola","31%","25-36%","-0.64"
"Van Buren","34%","29-39%","0.46"
"Washtenaw","23%","21-26%","-3.10"
"Wayne","34%","32-35%","0.39"
"Wexford","31%","24-37%","-0.64"
