County,County Value,Error Margin,Z-Score
"Minnesota","26%","&nbsp;",
"Aitkin","27%","22-33%","-0.73"
"Anoka","30%","27-32%","0.41"
"Becker","29%","25-34%","0.32"
"Beltrami","29%","25-33%","0.00"
"Benton","28%","23-33%","-0.23"
"Big Stone","30%","23-37%","0.41"
"Blue Earth","28%","24-33%","-0.32"
"Brown","28%","23-33%","-0.41"
"Carlton","28%","24-33%","-0.27"
"Carver","24%","21-28%","-2.04"
"Cass","27%","23-32%","-0.59"
"Chippewa","30%","24-36%","0.41"
"Chisago","30%","26-35%","0.63"
"Clay","28%","24-32%","-0.32"
"Clearwater","30%","25-37%","0.77"
"Cook","26%","21-32%","-1.04"
"Cottonwood","30%","24-36%","0.41"
"Crow Wing","29%","26-33%","0.27"
"Dakota","26%","24-28%","-1.27"
"Dodge","29%","23-35%","0.04"
"Douglas","26%","22-31%","-1.09"
"Faribault","27%","22-32%","-0.95"
"Fillmore","26%","21-32%","-1.13"
"Freeborn","31%","26-37%","1.22"
"Goodhue","31%","27-35%","0.95"
"Grant","30%","24-38%","0.59"
"Hennepin","23%","22-24%","-2.72"
"Houston","26%","21-31%","-1.45"
"Hubbard","28%","23-33%","-0.50"
"Isanti","28%","23-33%","-0.50"
"Itasca","31%","27-36%","1.22"
"Jackson","31%","25-38%","0.99"
"Kanabec","27%","21-33%","-0.95"
"Kandiyohi","27%","23-32%","-0.59"
"Kittson","29%","23-36%","0.22"
"Koochiching","25%","20-30%","-1.72"
"Lac qui Parle","29%","24-36%","0.27"
"Lake","28%","23-35%","-0.18"
"Lake of the Woods","29%","22-36%","0.04"
"Le Sueur","33%","28-39%","1.94"
"Lincoln","29%","23-36%","0.09"
"Lyon","29%","24-35%","0.22"
"Mahnomen","29%","23-36%","-0.05"
"Marshall","30%","24-38%","0.72"
"Martin","33%","27-39%","1.76"
"McLeod","34%","29-39%","2.22"
"Meeker","28%","24-34%","-0.14"
"Mille Lacs","33%","28-39%","1.99"
"Morrison","29%","25-35%","0.27"
"Mower","30%","24-35%","0.36"
"Murray","30%","24-37%","0.50"
"Nicollet","30%","25-36%","0.68"
"Nobles","29%","23-35%","-0.05"
"Norman","31%","25-38%","0.95"
"Olmsted","24%","21-27%","-2.26"
"Otter Tail","27%","24-31%","-0.59"
"Pennington","27%","21-33%","-1.00"
"Pine","31%","26-36%","1.04"
"Pipestone","28%","22-34%","-0.54"
"Polk","31%","27-36%","1.18"
"Pope","30%","24-36%","0.41"
"Ramsey","25%","24-26%","-1.63"
"Red Lake","31%","24-39%","0.90"
"Redwood","33%","27-38%","1.81"
"Renville","31%","25-37%","1.18"
"Rice","27%","23-31%","-0.77"
"Rock","28%","22-35%","-0.27"
"Roseau","33%","27-39%","2.04"
"Scott","25%","21-28%","-1.86"
"Sherburne","27%","24-31%","-0.64"
"Sibley","31%","25-38%","1.22"
"St. Louis","26%","23-28%","-1.45"
"Stearns","27%","24-30%","-0.68"
"Steele","28%","24-33%","-0.18"
"Stevens","29%","23-36%","0.22"
"Swift","28%","22-35%","-0.32"
"Todd","29%","24-35%","0.22"
"Traverse","30%","23-37%","0.54"
"Wabasha","30%","25-36%","0.72"
"Wadena","28%","22-34%","-0.27"
"Waseca","30%","24-36%","0.59"
"Washington","26%","24-28%","-1.36"
"Watonwan","30%","24-37%","0.68"
"Wilkin","30%","23-37%","0.50"
"Winona","27%","23-32%","-0.73"
"Wright","28%","25-32%","-0.14"
"Yellow Medicine","28%","22-35%","-0.18"
