County,County Value,Error Margin,Z-Score
"Mississippi","35%","&nbsp;",
"Adams","36%","32-41%","-0.12"
"Alcorn","34%","29-38%","-0.93"
"Amite","39%","33-44%","0.57"
"Attala","40%","34-45%","0.74"
"Benton","38%","31-45%","0.18"
"Bolivar","34%","29-38%","-0.93"
"Calhoun","35%","30-42%","-0.40"
"Carroll","32%","26-37%","-1.45"
"Chickasaw","37%","31-43%","-0.01"
"Choctaw","34%","28-40%","-0.87"
"Claiborne","43%","35-51%","1.68"
"Clarke","36%","31-41%","-0.34"
"Clay","38%","33-44%","0.43"
"Coahoma","46%","40-51%","2.40"
"Copiah","38%","32-44%","0.24"
"Covington","36%","31-42%","-0.15"
"DeSoto","37%","34-40%","0.02"
"Forrest","34%","30-38%","-0.73"
"Franklin","39%","33-45%","0.49"
"George","34%","28-41%","-0.68"
"Greene","38%","32-45%","0.38"
"Grenada","40%","34-45%","0.74"
"Hancock","30%","26-35%","-1.87"
"Harrison","33%","30-36%","-1.06"
"Hinds","35%","32-37%","-0.65"
"Holmes","47%","41-52%","2.71"
"Humphreys","44%","36-51%","1.85"
"Issaquena","37%","29-47%","0.02"
"Itawamba","33%","28-39%","-1.09"
"Jackson","31%","28-34%","-1.54"
"Jasper","39%","34-45%","0.63"
"Jefferson","44%","37-52%","2.04"
"Jefferson Davis","38%","33-44%","0.43"
"Jones","38%","34-42%","0.35"
"Kemper","38%","31-45%","0.24"
"Lafayette","35%","30-40%","-0.62"
"Lamar","35%","30-39%","-0.62"
"Lauderdale","34%","31-38%","-0.73"
"Lawrence","39%","33-44%","0.49"
"Leake","39%","33-45%","0.57"
"Lee","32%","28-35%","-1.45"
"Leflore","42%","37-47%","1.38"
"Lincoln","39%","35-43%","0.63"
"Lowndes","35%","31-39%","-0.56"
"Madison","32%","27-36%","-1.48"
"Marion","35%","30-40%","-0.59"
"Marshall","39%","34-45%","0.71"
"Monroe","36%","32-41%","-0.20"
"Montgomery","38%","33-44%","0.38"
"Neshoba","37%","32-42%","0.05"
"Newton","31%","26-37%","-1.51"
"Noxubee","42%","35-48%","1.38"
"Oktibbeha","33%","28-38%","-1.04"
"Panola","35%","31-40%","-0.48"
"Pearl River","32%","28-36%","-1.43"
"Perry","37%","30-44%","0.02"
"Pike","38%","34-42%","0.27"
"Pontotoc","33%","28-38%","-1.06"
"Prentiss","31%","26-37%","-1.56"
"Quitman","42%","35-50%","1.49"
"Rankin","31%","28-35%","-1.54"
"Scott","34%","29-40%","-0.76"
"Sharkey","41%","32-50%","1.02"
"Simpson","40%","33-46%","0.74"
"Smith","36%","30-42%","-0.26"
"Stone","32%","27-39%","-1.31"
"Sunflower","42%","37-48%","1.52"
"Tallahatchie","40%","33-46%","0.79"
"Tate","35%","30-40%","-0.56"
"Tippah","34%","29-41%","-0.70"
"Tishomingo","36%","30-41%","-0.34"
"Tunica","42%","35-50%","1.46"
"Union","34%","28-40%","-0.70"
"Walthall","38%","33-44%","0.43"
"Warren","36%","31-41%","-0.29"
"Washington","41%","37-45%","1.13"
"Wayne","38%","32-43%","0.24"
"Webster","36%","29-42%","-0.37"
"Wilkinson","41%","34-48%","1.21"
"Winston","36%","31-42%","-0.20"
"Yalobusha","38%","32-44%","0.27"
"Yazoo","40%","34-47%","0.88"
