County,County Value,Error Margin,Z-Score
"Missouri","31%","&nbsp;",
"Adair","30%","25-36%","-0.92"
"Andrew","28%","23-34%","-1.89"
"Atchison","31%","25-38%","-0.52"
"Audrain","35%","28-41%","0.86"
"Barry","32%","26-40%","-0.11"
"Barton","32%","25-40%","-0.11"
"Bates","35%","28-42%","0.90"
"Benton","32%","26-38%","-0.27"
"Bollinger","36%","28-44%","1.26"
"Boone","27%","24-31%","-2.13"
"Buchanan","35%","31-39%","1.02"
"Butler","37%","31-42%","1.58"
"Caldwell","39%","31-48%","2.67"
"Callaway","34%","29-41%","0.69"
"Camden","28%","23-34%","-1.81"
"Cape Girardeau","33%","28-38%","0.05"
"Carroll","34%","28-41%","0.65"
"Carter","33%","25-41%","-0.03"
"Cass","31%","26-36%","-0.84"
"Cedar","34%","27-42%","0.69"
"Chariton","32%","26-39%","-0.23"
"Christian","30%","25-37%","-0.88"
"Clark","33%","27-41%","0.29"
"Clay","29%","25-33%","-1.52"
"Clinton","35%","27-42%","0.77"
"Cole","30%","25-35%","-1.04"
"Cooper","35%","28-43%","1.10"
"Crawford","33%","27-40%","0.17"
"Dade","37%","29-45%","1.78"
"Dallas","33%","26-41%","0.05"
"Daviess","36%","29-44%","1.46"
"DeKalb","39%","31-47%","2.47"
"Dent","35%","28-43%","1.10"
"Douglas","32%","25-39%","-0.35"
"Dunklin","33%","26-40%","0.05"
"Franklin","33%","28-39%","0.13"
"Gasconade","33%","26-40%","0.09"
"Gentry","32%","25-39%","-0.44"
"Greene","29%","25-32%","-1.56"
"Grundy","34%","27-41%","0.53"
"Harrison","33%","27-40%","0.29"
"Henry","32%","25-39%","-0.31"
"Hickory","31%","25-39%","-0.60"
"Holt","31%","25-38%","-0.56"
"Howard","34%","27-42%","0.57"
"Howell","32%","27-39%","-0.07"
"Iron","34%","27-42%","0.73"
"Jackson","30%","29-32%","-0.88"
"Jasper","33%","28-38%","0.01"
"Jefferson","31%","27-36%","-0.60"
"Johnson","29%","25-34%","-1.28"
"Knox","32%","26-40%","-0.11"
"Laclede","32%","26-39%","-0.23"
"Lafayette","31%","25-38%","-0.68"
"Lawrence","30%","24-37%","-0.88"
"Lewis","36%","29-43%","1.42"
"Lincoln","33%","27-40%","0.25"
"Linn","30%","24-37%","-1.12"
"Livingston","28%","23-35%","-1.73"
"Macon","31%","25-38%","-0.68"
"Madison","36%","29-44%","1.42"
"Maries","33%","25-41%","0.13"
"Marion","36%","30-41%","1.26"
"McDonald","29%","22-36%","-1.64"
"Mercer","36%","29-44%","1.42"
"Miller","35%","28-42%","0.81"
"Mississippi","33%","26-41%","0.25"
"Moniteau","30%","24-38%","-0.88"
"Monroe","31%","25-38%","-0.48"
"Montgomery","33%","25-41%","0.05"
"Morgan","27%","21-34%","-2.17"
"New Madrid","34%","27-42%","0.57"
"Newton","32%","26-38%","-0.35"
"Nodaway","28%","23-34%","-1.68"
"Oregon","34%","27-41%","0.41"
"Osage","33%","26-40%","0.01"
"Ozark","33%","26-41%","0.25"
"Pemiscot","34%","27-41%","0.49"
"Perry","32%","25-39%","-0.35"
"Pettis","35%","29-42%","1.06"
"Phelps","30%","25-36%","-1.00"
"Pike","31%","25-37%","-0.56"
"Platte","31%","26-37%","-0.60"
"Polk","32%","26-39%","-0.15"
"Pulaski","33%","27-40%","0.25"
"Putnam","32%","26-40%","-0.07"
"Ralls","35%","28-42%","0.77"
"Randolph","33%","27-39%","0.01"
"Ray","35%","29-43%","1.14"
"Reynolds","33%","25-41%","0.05"
"Ripley","34%","28-41%","0.65"
"Saline","38%","32-45%","2.19"
"Schuyler","32%","25-40%","-0.27"
"Scotland","35%","27-42%","0.81"
"Scott","36%","31-43%","1.50"
"Shannon","33%","26-41%","0.29"
"Shelby","33%","26-40%","0.09"
"St. Charles","28%","25-32%","-1.73"
"St. Clair","31%","24-38%","-0.72"
"St. Francois","34%","28-39%","0.41"
"St. Louis","28%","26-29%","-2.01"
"St. Louis City","32%","29-35%","-0.31"
"Ste. Genevieve","29%","23-36%","-1.52"
"Stoddard","34%","28-41%","0.61"
"Stone","32%","26-39%","-0.15"
"Sullivan","34%","27-42%","0.61"
"Taney","31%","25-37%","-0.72"
"Texas","31%","25-37%","-0.76"
"Vernon","31%","25-39%","-0.60"
"Warren","29%","23-37%","-1.36"
"Washington","37%","29-45%","1.66"
"Wayne","35%","28-42%","0.86"
"Webster","33%","26-40%","0.13"
"Worth","31%","24-39%","-0.56"
"Wright","36%","29-43%","1.22"
