County,County Value,Error Margin,Z-Score
"Montana","25%","&nbsp;",
"Beaverhead","27%","22-32%","-0.09"
"Big Horn","37%","33-41%","2.36"
"Blaine","34%","30-37%","1.65"
"Broadwater","34%","27-40%","1.58"
"Carbon","24%","20-28%","-0.70"
"Carter","26%","20-32%","NA"
"Cascade","29%","27-31%","0.49"
"Chouteau","26%","21-31%","-0.24"
"Custer","30%","26-34%","0.76"
"Daniels","26%","21-33%","NA"
"Dawson","28%","24-33%","0.34"
"Deer Lodge","27%","22-32%","-0.02"
"Fallon","27%","22-34%","0.10"
"Fergus","26%","22-31%","-0.21"
"Flathead","22%","20-24%","-1.18"
"Gallatin","16%","15-18%","-2.56"
"Garfield","26%","20-32%","NA"
"Glacier","34%","31-38%","1.75"
"Golden Valley","27%","20-34%","NA"
"Granite","26%","21-32%","-0.19"
"Hill","34%","31-36%","1.58"
"Jefferson","24%","20-29%","-0.65"
"Judith Basin","26%","21-33%","-0.14"
"Lake","27%","25-29%","0.01"
"Lewis and Clark","24%","22-27%","-0.62"
"Liberty","26%","20-34%","-0.14"
"Lincoln","27%","24-31%","0.03"
"Madison","21%","17-25%","-1.55"
"McCone","24%","19-29%","NA"
"Meagher","24%","19-30%","-0.72"
"Mineral","26%","22-32%","-0.16"
"Missoula","21%","20-23%","-1.35"
"Musselshell","27%","22-32%","-0.04"
"Park","23%","19-26%","-1.06"
"Petroleum","25%","19-32%","NA"
"Phillips","26%","21-31%","-0.19"
"Pondera","30%","25-35%","0.68"
"Powder River","27%","22-33%","0.03"
"Powell","28%","22-34%","0.13"
"Prairie","27%","21-34%","NA"
"Ravalli","21%","18-24%","-1.52"
"Richland","29%","25-33%","0.49"
"Roosevelt","35%","31-39%","1.90"
"Rosebud","34%","30-37%","1.63"
"Sanders","28%","24-32%","0.20"
"Sheridan","30%","25-36%","0.80"
"Silver Bow","25%","22-28%","-0.46"
"Stillwater","22%","18-26%","-1.28"
"Sweet Grass","23%","18-29%","-0.96"
"Teton","26%","22-31%","-0.14"
"Toole","27%","22-32%","-0.12"
"Treasure","27%","21-34%","NA"
"Valley","29%","25-33%","0.49"
"Wheatland","26%","20-33%","-0.16"
"Wibaux","28%","22-36%","NA"
"Yellowstone","25%","23-27%","-0.53"
