County,County Value,Error Margin,Z-Score
"Nebraska","30%","&nbsp;",
"Adams","30%","27-32%","-0.61"
"Antelope","27%","23-31%","-1.57"
"Arthur","30%","23-37%","NA"
"Banner","33%","27-40%","NA"
"Blaine","28%","21-35%","NA"
"Boone","28%","23-33%","-1.27"
"Box Butte","32%","28-36%","0.04"
"Boyd","33%","27-39%","0.52"
"Brown","31%","26-37%","-0.14"
"Buffalo","30%","27-32%","-0.65"
"Burt","33%","29-37%","0.48"
"Butler","28%","24-33%","-1.16"
"Cass","34%","30-38%","0.89"
"Cedar","28%","25-31%","-1.24"
"Chase","27%","23-32%","-1.53"
"Cherry","26%","23-29%","-1.97"
"Cheyenne","28%","24-32%","-1.13"
"Clay","32%","28-37%","0.37"
"Colfax","31%","27-36%","-0.10"
"Cuming","29%","25-33%","-0.91"
"Custer","34%","31-38%","1.00"
"Dakota","34%","32-37%","1.11"
"Dawes","28%","24-32%","-1.24"
"Dawson","33%","30-36%","0.56"
"Deuel","27%","22-33%","NA"
"Dixon","31%","27-34%","-0.25"
"Dodge","31%","28-34%","-0.21"
"Douglas","28%","27-29%","-1.16"
"Dundy","34%","29-40%","1.00"
"Fillmore","31%","26-35%","-0.32"
"Franklin","36%","30-43%","1.84"
"Frontier","35%","29-41%","NA"
"Furnas","33%","28-37%","0.45"
"Gage","35%","32-39%","1.47"
"Garden","31%","26-37%","-0.03"
"Garfield","28%","22-33%","-1.38"
"Gosper","34%","27-41%","0.81"
"Grant","29%","23-35%","NA"
"Greeley","33%","28-39%","0.74"
"Hall","33%","31-36%","0.59"
"Hamilton","30%","26-34%","-0.43"
"Harlan","31%","26-37%","0.01"
"Hayes","30%","24-37%","NA"
"Hitchcock","34%","29-40%","1.03"
"Holt","32%","28-36%","0.19"
"Hooker","27%","22-33%","NA"
"Howard","31%","27-35%","-0.18"
"Jefferson","35%","31-40%","1.40"
"Johnson","30%","25-35%","-0.61"
"Kearney","32%","27-38%","0.34"
"Keith","28%","25-31%","-1.24"
"Keya Paha","28%","22-34%","NA"
"Kimball","32%","26-37%","0.08"
"Knox","30%","27-33%","-0.50"
"Lancaster","26%","25-27%","-1.93"
"Lincoln","33%","31-36%","0.67"
"Logan","29%","22-35%","NA"
"Loup","30%","24-37%","NA"
"Madison","32%","30-35%","0.34"
"McPherson","31%","24-39%","NA"
"Merrick","34%","30-40%","1.11"
"Morrill","31%","26-36%","-0.28"
"Nance","31%","25-36%","-0.32"
"Nemaha","35%","30-39%","1.18"
"Nuckolls","31%","26-36%","-0.18"
"Otoe","34%","30-37%","0.85"
"Pawnee","32%","26-37%","0.12"
"Perkins","26%","22-32%","-1.82"
"Phelps","35%","30-40%","1.33"
"Pierce","35%","31-40%","1.44"
"Platte","30%","27-33%","-0.50"
"Polk","30%","26-35%","-0.50"
"Red Willow","30%","26-34%","-0.54"
"Richardson","36%","32-40%","1.58"
"Rock","32%","26-38%","0.04"
"Saline","33%","29-37%","0.63"
"Sarpy","29%","27-31%","-0.91"
"Saunders","27%","24-31%","-1.49"
"Scotts Bluff","34%","32-37%","1.03"
"Seward","29%","26-33%","-0.83"
"Sheridan","30%","27-33%","-0.47"
"Sherman","34%","29-40%","1.11"
"Sioux","31%","25-37%","NA"
"Stanton","33%","28-38%","0.67"
"Thayer","30%","25-35%","-0.47"
"Thomas","31%","25-38%","NA"
"Thurston^","41%","38-44%","3.00"
"Valley","31%","27-36%","0.01"
"Washington","31%","27-35%","-0.14"
"Wayne","30%","26-34%","-0.65"
"Webster","32%","27-37%","0.15"
"Wheeler","28%","22-34%","NA"
"York","32%","29-36%","0.26"
