County,County Value,Error Margin,Z-Score
"Nevada","25%","&nbsp;",
"Carson City","24%","21-27%","-0.91"
"Churchill","29%","25-33%","0.68"
"Clark","26%","25-27%","-0.33"
"Douglas","22%","19-26%","-1.49"
"Elko","32%","28-36%","1.74"
"Esmeralda","27%","20-35%","-0.06"
"Eureka","26%","20-34%","-0.16"
"Humboldt","25%","20-30%","-0.71"
"Lander","29%","22-36%","0.58"
"Lincoln","25%","19-32%","-0.54"
"Lyon","30%","27-33%","1.06"
"Mineral","26%","21-33%","-0.13"
"Nye","29%","26-33%","0.79"
"Pershing","32%","25-40%","1.91"
"Storey","26%","20-32%","-0.30"
"Washoe","22%","21-24%","-1.55"
"White Pine","25%","20-31%","-0.57"
