County,County Value,Error Margin,Z-Score
"New Mexico","24%","&nbsp;",
"Bernalillo","20%","19-22%","-1.03"
"Catron","22%","17-27%","-0.72"
"Chaves","30%","26-34%","0.94"
"Cibola","33%","29-37%","1.57"
"Colfax","24%","19-29%","-0.28"
"Curry","30%","26-34%","0.96"
"De Baca","24%","18-30%","-0.33"
"Dona Ana","23%","21-26%","-0.45"
"Eddy","30%","27-34%","0.98"
"Grant","21%","18-25%","-0.91"
"Guadalupe","27%","21-35%","0.34"
"Harding","23%","17-29%","NA"
"Hidalgo","26%","19-32%","0.05"
"Lea","35%","31-39%","1.94"
"Lincoln","22%","18-25%","-0.80"
"Los Alamos","20%","17-24%","-1.05"
"Luna","23%","18-28%","-0.47"
"McKinley","33%","31-36%","1.65"
"Mora","24%","18-30%","-0.33"
"Otero","26%","23-29%","0.07"
"Quay","32%","27-39%","1.46"
"Rio Arriba","24%","21-28%","-0.26"
"Roosevelt","28%","23-33%","0.57"
"San Juan","30%","28-32%","1.03"
"San Miguel","22%","18-27%","-0.66"
"Sandoval","24%","22-26%","-0.26"
"Santa Fe","14%","12-16%","-2.40"
"Sierra","21%","17-25%","-0.91"
"Socorro","26%","21-31%","0.05"
"Taos","17%","14-20%","-1.76"
"Torrance","26%","21-31%","0.03"
"Union","28%","22-35%","0.63"
"Valencia","27%","24-30%","0.36"
