County,County Value,Error Margin,Z-Score
"New York","24%","&nbsp;",
"Albany","27%","23-31%","-0.04"
"Allegany","30%","24-37%","0.77"
"Bronx","29%","26-32%","0.49"
"Broome","25%","20-29%","-0.82"
"Cattaraugus","28%","23-34%","0.33"
"Cayuga","30%","24-37%","0.92"
"Chautauqua","30%","25-35%","0.77"
"Chemung","32%","26-39%","1.42"
"Chenango","33%","26-40%","1.70"
"Clinton","30%","24-36%","0.70"
"Columbia","25%","20-31%","-0.64"
"Cortland","28%","21-34%","0.11"
"Delaware","26%","20-32%","-0.48"
"Dutchess","25%","21-29%","-0.76"
"Erie","27%","24-29%","-0.26"
"Essex","29%","22-36%","0.36"
"Franklin","30%","24-36%","0.77"
"Fulton","29%","23-36%","0.42"
"Genesee","30%","23-37%","0.67"
"Greene","30%","23-37%","0.70"
"Hamilton","28%","21-36%","0.21"
"Herkimer","30%","24-36%","0.77"
"Jefferson","27%","22-33%","0.02"
"Kings","22%","21-24%","-1.57"
"Lewis","27%","21-34%","-0.04"
"Livingston","30%","24-37%","0.80"
"Madison","29%","23-36%","0.64"
"Monroe","27%","25-30%","-0.04"
"Montgomery","25%","20-32%","-0.70"
"Nassau","23%","21-25%","-1.44"
"New York","15%","14-16%","-3.94"
"Niagara","30%","26-35%","0.89"
"Oneida","30%","26-36%","0.95"
"Onondaga","28%","24-31%","0.14"
"Ontario","30%","24-36%","0.67"
"Orange","26%","22-30%","-0.39"
"Orleans","31%","24-38%","1.01"
"Oswego","29%","24-35%","0.61"
"Otsego","26%","20-32%","-0.57"
"Putnam","27%","22-33%","-0.04"
"Queens","24%","22-26%","-1.10"
"Rensselaer","24%","19-29%","-1.16"
"Richmond","26%","23-30%","-0.32"
"Rockland","21%","17-25%","-2.01"
"Saratoga","26%","21-30%","-0.54"
"Schenectady","26%","21-31%","-0.42"
"Schoharie","27%","21-34%","-0.14"
"Schuyler","30%","23-38%","0.83"
"Seneca","31%","24-38%","1.05"
"St. Lawrence","29%","24-34%","0.39"
"Steuben","30%","23-36%","0.67"
"Suffolk","23%","21-25%","-1.41"
"Sullivan","31%","25-37%","1.05"
"Tioga","32%","25-39%","1.30"
"Tompkins","24%","18-29%","-1.13"
"Ulster","28%","24-33%","0.24"
"Warren","26%","21-32%","-0.42"
"Washington","30%","23-37%","0.77"
"Wayne","29%","24-36%","0.64"
"Westchester","20%","17-22%","-2.41"
"Wyoming","26%","20-33%","-0.32"
"Yates","25%","19-33%","-0.64"
