County,County Value,Error Margin,Z-Score
"North Carolina","29%","&nbsp;",
"Alamance","34%","30-38%","0.64"
"Alexander","33%","27-40%","0.47"
"Alleghany","26%","20-32%","-1.27"
"Anson","35%","28-42%","0.83"
"Ashe","26%","21-32%","-1.10"
"Avery","26%","20-33%","-1.22"
"Beaufort","33%","27-39%","0.45"
"Bertie","36%","28-43%","1.07"
"Bladen","35%","29-41%","0.90"
"Brunswick","29%","25-33%","-0.58"
"Buncombe","23%","20-26%","-1.96"
"Burke","32%","27-37%","0.11"
"Cabarrus","28%","24-32%","-0.77"
"Caldwell","31%","26-36%","-0.01"
"Camden","32%","25-40%","0.30"
"Carteret","26%","21-31%","-1.15"
"Caswell","36%","29-43%","1.14"
"Catawba","31%","27-35%","-0.05"
"Chatham","27%","23-32%","-0.96"
"Cherokee","29%","23-35%","-0.60"
"Chowan","32%","26-39%","0.33"
"Clay","29%","22-36%","-0.58"
"Cleveland","32%","27-37%","0.26"
"Columbus","31%","25-37%","-0.01"
"Craven","30%","25-35%","-0.36"
"Cumberland","32%","29-35%","0.23"
"Currituck","28%","22-35%","-0.65"
"Dare","28%","22-35%","-0.70"
"Davidson","30%","27-34%","-0.20"
"Davie","28%","23-34%","-0.72"
"Duplin","29%","24-35%","-0.44"
"Durham","28%","26-31%","-0.67"
"Edgecombe","39%","33-46%","1.95"
"Forsyth","29%","26-32%","-0.55"
"Franklin","32%","26-38%","0.19"
"Gaston","34%","30-37%","0.62"
"Gates","34%","27-42%","0.73"
"Graham","31%","24-37%","-0.13"
"Granville","37%","31-43%","1.43"
"Greene","34%","27-42%","0.76"
"Guilford","28%","26-31%","-0.63"
"Halifax","39%","34-45%","2.00"
"Harnett","33%","28-38%","0.47"
"Haywood","26%","22-32%","-1.10"
"Henderson","24%","20-29%","-1.61"
"Hertford","35%","29-42%","1.00"
"Hoke","35%","29-41%","0.90"
"Hyde","30%","23-37%","-0.27"
"Iredell","28%","25-32%","-0.67"
"Jackson","32%","27-38%","0.33"
"Johnston","35%","32-39%","1.00"
"Jones","34%","27-42%","0.81"
"Lee","29%","24-35%","-0.41"
"Lenoir","36%","31-42%","1.19"
"Lincoln","29%","24-34%","-0.53"
"Macon","25%","20-31%","-1.41"
"Madison","25%","19-31%","-1.49"
"Martin","36%","30-43%","1.28"
"McDowell","30%","25-37%","-0.17"
"Mecklenburg","24%","22-26%","-1.80"
"Mitchell","29%","22-37%","-0.53"
"Montgomery","32%","26-39%","0.21"
"Moore","28%","24-33%","-0.75"
"Nash","31%","27-36%","0.04"
"New Hanover","26%","23-29%","-1.20"
"Northampton","38%","31-45%","1.62"
"Onslow","26%","23-30%","-1.18"
"Orange","20%","17-23%","-2.66"
"Pamlico","32%","25-39%","0.21"
"Pasquotank","34%","27-41%","0.64"
"Pender","29%","24-35%","-0.53"
"Perquimans","33%","27-40%","0.52"
"Person","33%","27-38%","0.40"
"Pitt","34%","31-38%","0.81"
"Polk","27%","21-33%","-0.96"
"Randolph","30%","26-33%","-0.29"
"Richmond","37%","31-44%","1.45"
"Robeson","39%","36-42%","1.93"
"Rockingham","34%","29-39%","0.71"
"Rowan","34%","31-38%","0.78"
"Rutherford","28%","23-33%","-0.70"
"Sampson","39%","33-45%","1.81"
"Scotland","37%","31-43%","1.33"
"Stanly","30%","24-36%","-0.29"
"Stokes","34%","28-40%","0.64"
"Surry","29%","24-34%","-0.51"
"Swain","35%","30-41%","1.02"
"Transylvania","24%","19-29%","-1.68"
"Tyrrell","31%","24-39%","-0.01"
"Union","27%","24-29%","-1.06"
"Vance","37%","31-43%","1.40"
"Wake","25%","23-27%","-1.46"
"Warren","38%","31-45%","1.59"
"Washington","33%","26-41%","0.42"
"Watauga","26%","21-32%","-1.10"
"Wayne","35%","31-39%","0.88"
"Wilkes","26%","22-31%","-1.15"
"Wilson","38%","33-44%","1.69"
"Yadkin","32%","26-39%","0.30"
"Yancey","27%","21-34%","-0.96"
