County,County Value,Error Margin,Z-Score
"North Dakota","30%","&nbsp;",
"Adams","33%","28-39%","0.64"
"Barnes","33%","28-38%","0.45"
"Benson","35%","29-42%","1.45"
"Billings","30%","24-37%","NA"
"Bottineau","30%","25-35%","-0.56"
"Bowman","30%","25-35%","-0.75"
"Burke","30%","24-36%","-0.79"
"Burleigh","29%","27-32%","-0.87"
"Cass","27%","25-29%","-1.68"
"Cavalier","31%","25-37%","-0.17"
"Dickey","33%","28-39%","0.49"
"Divide","29%","24-34%","-1.17"
"Dunn","30%","25-35%","-0.52"
"Eddy","32%","25-38%","-0.05"
"Emmons","31%","25-37%","-0.13"
"Foster","29%","24-36%","-0.87"
"Golden Valley","29%","23-35%","-0.98"
"Grand Forks","29%","26-32%","-1.02"
"Grant","32%","26-39%","0.29"
"Griggs","30%","24-36%","-0.75"
"Hettinger","31%","26-37%","-0.25"
"Kidder","29%","23-35%","-1.14"
"LaMoure","33%","27-39%","0.60"
"Logan","34%","27-41%","0.72"
"McHenry","29%","23-34%","-1.10"
"McIntosh","32%","26-39%","0.18"
"McKenzie","34%","29-38%","0.72"
"McLean","33%","29-38%","0.49"
"Mercer","31%","26-36%","-0.29"
"Morton","32%","29-36%","0.26"
"Mountrail","34%","30-38%","0.76"
"Nelson","30%","25-37%","-0.48"
"Oliver","31%","24-38%","-0.36"
"Pembina","32%","27-37%","0.14"
"Pierce","33%","27-39%","0.33"
"Ramsey","31%","27-36%","-0.17"
"Ransom","32%","27-38%","0.29"
"Renville","30%","24-37%","-0.56"
"Richland","33%","28-37%","0.41"
"Rolette^","41%","36-46%","3.00"
"Sargent","32%","26-38%","0.02"
"Sheridan","32%","25-38%","NA"
"Sioux","39%","32-47%","2.88"
"Slope","28%","22-35%","NA"
"Stark","29%","26-32%","-1.10"
"Steele","31%","25-38%","NA"
"Stutsman","30%","26-34%","-0.56"
"Towner","31%","24-38%","-0.36"
"Traill","36%","30-42%","1.76"
"Walsh","30%","26-35%","-0.56"
"Ward","30%","27-32%","-0.75"
"Wells","32%","27-38%","0.18"
"Williams","35%","32-38%","1.22"
