County,County Value,Error Margin,Z-Score
"Ohio","30%","&nbsp;",
"Adams","28%","22-35%","-1.36"
"Allen","34%","30-38%","0.62"
"Ashland","30%","23-37%","-0.71"
"Ashtabula","31%","25-36%","-0.50"
"Athens","29%","24-34%","-1.18"
"Auglaize","34%","29-40%","0.84"
"Belmont","33%","29-37%","0.37"
"Brown","37%","31-44%","1.89"
"Butler","30%","27-33%","-0.71"
"Carroll","35%","29-40%","0.88"
"Champaign","37%","30-44%","1.64"
"Clark","30%","26-35%","-0.60"
"Clermont","29%","26-33%","-1.00"
"Clinton","35%","28-42%","0.99"
"Columbiana","32%","27-38%","0.05"
"Coshocton","34%","28-40%","0.59"
"Crawford","32%","27-38%","0.01"
"Cuyahoga","29%","27-30%","-1.25"
"Darke","31%","25-37%","-0.57"
"Defiance","32%","26-37%","-0.21"
"Delaware","27%","23-31%","-1.80"
"Erie","31%","27-37%","-0.24"
"Fairfield","31%","27-35%","-0.35"
"Fayette","32%","26-40%","0.12"
"Franklin","29%","27-31%","-1.04"
"Fulton","33%","28-38%","0.26"
"Gallia","31%","26-37%","-0.28"
"Geauga","28%","22-33%","-1.61"
"Greene","29%","24-33%","-1.29"
"Guernsey","36%","31-42%","1.56"
"Hamilton","29%","27-31%","-1.15"
"Hancock","30%","26-35%","-0.68"
"Hardin","34%","28-41%","0.77"
"Harrison","29%","24-36%","-0.96"
"Henry","30%","24-36%","-0.68"
"Highland","34%","27-41%","0.59"
"Hocking","34%","29-40%","0.70"
"Holmes","28%","22-36%","-1.40"
"Huron","34%","28-40%","0.52"
"Jackson","37%","31-43%","1.71"
"Jefferson","34%","29-38%","0.55"
"Knox","34%","29-40%","0.77"
"Lake","26%","22-31%","-2.05"
"Lawrence","39%","34-44%","2.47"
"Licking","29%","26-33%","-1.00"
"Logan","31%","25-38%","-0.31"
"Lorain","30%","27-33%","-0.78"
"Lucas","32%","30-35%","0.12"
"Madison","29%","23-35%","-1.25"
"Mahoning","31%","28-33%","-0.53"
"Marion","34%","29-40%","0.66"
"Medina","29%","24-34%","-1.15"
"Meigs","35%","29-41%","0.91"
"Mercer","29%","24-34%","-1.22"
"Miami","32%","26-37%","-0.21"
"Monroe","36%","29-43%","1.45"
"Montgomery","31%","29-33%","-0.39"
"Morgan","33%","27-40%","0.44"
"Morrow","37%","30-44%","1.74"
"Muskingum","33%","28-37%","0.15"
"Noble","33%","26-40%","0.30"
"Ottawa","31%","25-37%","-0.53"
"Paulding","30%","24-36%","-0.78"
"Perry","36%","30-41%","1.24"
"Pickaway","36%","30-42%","1.38"
"Pike","31%","25-39%","-0.31"
"Portage","29%","24-33%","-1.29"
"Preble","32%","25-40%","0.08"
"Putnam","33%","28-39%","0.44"
"Richland","33%","29-38%","0.34"
"Ross","36%","30-43%","1.53"
"Sandusky","32%","27-38%","0.12"
"Scioto","36%","31-42%","1.53"
"Seneca","35%","29-41%","1.02"
"Shelby","32%","26-39%","0.08"
"Stark","31%","28-33%","-0.46"
"Summit","29%","27-32%","-1.04"
"Trumbull","33%","29-37%","0.34"
"Tuscarawas","35%","31-39%","0.91"
"Union","32%","27-38%","0.05"
"Van Wert","37%","30-44%","1.67"
"Vinton","31%","25-38%","-0.28"
"Warren","29%","25-33%","-1.25"
"Washington","33%","29-38%","0.41"
"Wayne","27%","23-33%","-1.72"
"Williams","34%","29-39%","0.73"
"Wood","31%","27-35%","-0.53"
"Wyandot","35%","28-43%","1.13"
