County,County Value,Error Margin,Z-Score
"Oklahoma","32%","&nbsp;",
"Adair","38%","32-45%","1.49"
"Alfalfa","35%","28-42%","0.22"
"Atoka","36%","29-43%","0.65"
"Beaver","36%","28-43%","0.58"
"Beckham","34%","28-40%","-0.22"
"Blaine","38%","32-45%","1.38"
"Bryan","35%","30-40%","0.29"
"Caddo","36%","31-42%","0.76"
"Canadian","34%","31-37%","0.04"
"Carter","32%","28-37%","-0.61"
"Cherokee","35%","29-40%","0.25"
"Choctaw","34%","28-41%","0.04"
"Cimarron","31%","24-39%","-1.23"
"Cleveland","30%","28-32%","-1.52"
"Coal","36%","28-44%","0.65"
"Comanche","35%","31-39%","0.29"
"Cotton","36%","28-43%","0.58"
"Craig","30%","24-37%","-1.45"
"Creek","36%","31-40%","0.51"
"Custer","30%","25-35%","-1.56"
"Delaware","33%","29-38%","-0.25"
"Dewey","34%","27-41%","-0.07"
"Ellis","32%","24-39%","-0.87"
"Garfield","36%","32-40%","0.62"
"Garvin","36%","30-41%","0.54"
"Grady","33%","29-38%","-0.32"
"Grant","37%","30-45%","0.94"
"Greer","32%","25-40%","-0.69"
"Harmon","37%","28-45%","0.98"
"Harper","35%","28-43%","0.29"
"Haskell","36%","29-43%","0.54"
"Hughes","36%","30-43%","0.65"
"Jackson","31%","25-37%","-1.23"
"Jefferson","35%","28-43%","0.47"
"Johnston","39%","32-47%","1.88"
"Kay","29%","24-34%","-1.95"
"Kingfisher","29%","24-35%","-1.81"
"Kiowa","30%","24-37%","-1.37"
"Latimer","36%","29-42%","0.51"
"Le Flore","39%","34-44%","1.88"
"Lincoln","37%","32-43%","1.12"
"Logan","32%","28-37%","-0.61"
"Love","35%","28-42%","0.18"
"Major","32%","25-39%","-0.80"
"Marshall","34%","28-40%","-0.18"
"Mayes","35%","30-41%","0.47"
"McClain","30%","26-35%","-1.34"
"McCurtain","34%","29-39%","0.00"
"McIntosh","36%","30-41%","0.51"
"Murray","38%","32-45%","1.52"
"Muskogee","35%","30-39%","0.18"
"Noble","34%","27-41%","-0.22"
"Nowata","35%","28-42%","0.36"
"Okfuskee","32%","26-38%","-0.87"
"Oklahoma","30%","29-32%","-1.45"
"Okmulgee","37%","32-43%","1.20"
"Osage","37%","31-42%","0.87"
"Ottawa","33%","27-39%","-0.47"
"Pawnee","34%","28-41%","-0.07"
"Payne","30%","25-34%","-1.63"
"Pittsburg","33%","28-38%","-0.54"
"Pontotoc","36%","31-42%","0.83"
"Pottawatomie","36%","32-41%","0.83"
"Pushmataha","31%","25-38%","-1.05"
"Roger Mills","31%","25-39%","-1.01"
"Rogers","32%","28-36%","-0.76"
"Seminole","36%","30-42%","0.69"
"Sequoyah","37%","32-44%","1.20"
"Stephens","33%","29-37%","-0.47"
"Texas","31%","25-39%","-1.01"
"Tillman","34%","27-42%","0.07"
"Tulsa","30%","29-32%","-1.41"
"Wagoner","34%","30-39%","0.07"
"Washington","29%","25-34%","-1.74"
"Washita","41%","34-49%","2.64"
"Woods","32%","26-39%","-0.65"
"Woodward","39%","32-45%","1.63"
