County,County Value,Error Margin,Z-Score
"Oregon","26%","&nbsp;",
"Baker","26%","21-32%","-0.51"
"Benton","20%","17-23%","-2.46"
"Clackamas","26%","23-28%","-0.69"
"Clatsop","29%","24-35%","0.37"
"Columbia","32%","27-37%","1.32"
"Coos","28%","24-33%","0.16"
"Crook","27%","21-33%","-0.39"
"Curry","29%","24-35%","0.37"
"Deschutes","23%","20-27%","-1.37"
"Douglas","31%","27-35%","0.98"
"Gilliam","27%","21-35%","-0.12"
"Grant","26%","20-33%","-0.57"
"Harney","30%","24-38%","0.80"
"Hood River","25%","19-31%","-1.00"
"Jackson","25%","22-28%","-0.82"
"Jefferson","31%","25-38%","1.01"
"Josephine","26%","23-30%","-0.45"
"Klamath","29%","25-34%","0.37"
"Lake","32%","25-40%","1.26"
"Lane","27%","25-30%","-0.15"
"Lincoln","28%","23-33%","0.04"
"Linn","32%","29-36%","1.38"
"Malheur","29%","23-35%","0.22"
"Marion","33%","31-36%","1.68"
"Morrow","27%","20-35%","-0.12"
"Multnomah","21%","19-22%","-2.22"
"Polk","34%","29-39%","1.90"
"Sherman","28%","21-36%","-0.08"
"Tillamook","27%","22-33%","-0.15"
"Umatilla","32%","27-37%","1.32"
"Union","27%","22-33%","-0.21"
"Wallowa","25%","20-31%","-0.85"
"Wasco","27%","21-34%","-0.27"
"Washington","24%","23-26%","-1.03"
"Wheeler","27%","20-34%","-0.39"
"Yamhill","30%","26-35%","0.65"
