County,County Value,Error Margin,Z-Score
"Pennsylvania","29%","&nbsp;",
"Adams","32%","28-37%","0.42"
"Allegheny","26%","25-27%","-1.75"
"Armstrong","33%","29-38%","0.83"
"Beaver","30%","27-34%","-0.19"
"Bedford","35%","30-40%","1.30"
"Berks","31%","28-34%","-0.06"
"Blair","34%","30-38%","0.96"
"Bradford","33%","31-35%","0.59"
"Bucks","26%","24-29%","-1.58"
"Butler","29%","25-33%","-0.74"
"Cambria","29%","26-33%","-0.60"
"Cameron","28%","21-34%","-1.14"
"Carbon","36%","30-42%","1.67"
"Centre","25%","22-29%","-1.92"
"Chester","24%","21-27%","-2.40"
"Clarion","33%","28-39%","0.69"
"Clearfield","33%","29-37%","0.66"
"Clinton","32%","26-37%","0.18"
"Columbia","35%","31-39%","1.33"
"Crawford","34%","30-38%","1.06"
"Cumberland","26%","23-30%","-1.55"
"Dauphin","31%","28-34%","-0.09"
"Delaware","25%","22-28%","-1.99"
"Elk","28%","23-33%","-1.18"
"Erie","31%","28-34%","-0.09"
"Fayette","36%","32-41%","1.78"
"Forest","33%","26-41%","0.79"
"Franklin","30%","26-34%","-0.33"
"Fulton","33%","26-41%","0.66"
"Greene","33%","27-39%","0.66"
"Huntingdon","30%","24-35%","-0.50"
"Indiana","36%","31-41%","1.74"
"Jefferson","29%","24-34%","-0.67"
"Juniata","33%","27-41%","0.76"
"Lackawanna","30%","27-34%","-0.33"
"Lancaster","29%","27-32%","-0.53"
"Lawrence","33%","28-37%","0.52"
"Lebanon","31%","27-36%","0.04"
"Lehigh","29%","26-32%","-0.84"
"Luzerne","29%","26-32%","-0.63"
"Lycoming","30%","27-33%","-0.36"
"McKean","31%","26-36%","0.04"
"Mercer","33%","29-38%","0.83"
"Mifflin","32%","26-38%","0.28"
"Monroe","27%","24-31%","-1.35"
"Montgomery","24%","22-26%","-2.40"
"Montour","32%","26-39%","0.42"
"Northampton","28%","25-31%","-0.97"
"Northumberland","34%","30-38%","1.03"
"Perry","33%","27-39%","0.66"
"Philadelphia","29%","28-31%","-0.60"
"Pike","29%","27-32%","-0.53"
"Potter","32%","27-38%","0.49"
"Schuylkill","35%","30-40%","1.27"
"Snyder","33%","28-38%","0.55"
"Somerset","35%","30-39%","1.20"
"Sullivan","32%","26-39%","0.42"
"Susquehanna","32%","27-37%","0.38"
"Tioga","31%","27-35%","0.01"
"Union","29%","25-35%","-0.53"
"Venango","34%","29-39%","1.03"
"Warren","33%","28-38%","0.69"
"Washington","29%","26-32%","-0.74"
"Wayne","33%","28-39%","0.62"
"Westmoreland","28%","26-31%","-0.87"
"Wyoming","33%","27-39%","0.62"
"York","32%","29-35%","0.32"
