County,County Value,Error Margin,Z-Score
"Tennessee","32%","&nbsp;",
"Anderson","33%","27-40%","0.06"
"Bedford","34%","28-40%","0.29"
"Benton","34%","27-41%","0.36"
"Bledsoe","32%","26-40%","-0.24"
"Blount","34%","29-39%","0.44"
"Bradley","34%","29-39%","0.25"
"Campbell","32%","26-39%","-0.36"
"Cannon","32%","24-39%","-0.51"
"Carroll","30%","25-37%","-1.00"
"Carter","30%","25-35%","-1.30"
"Cheatham","33%","26-40%","-0.05"
"Chester","32%","25-40%","-0.20"
"Claiborne","34%","27-42%","0.55"
"Clay","33%","26-41%","0.17"
"Cocke","34%","27-41%","0.29"
"Coffee","38%","32-45%","2.07"
"Crockett","35%","27-42%","0.59"
"Cumberland","30%","26-36%","-0.96"
"Davidson","32%","29-34%","-0.54"
"Decatur","38%","31-45%","1.84"
"DeKalb","33%","25-40%","-0.17"
"Dickson","38%","31-46%","1.84"
"Dyer","35%","29-42%","0.89"
"Fayette","33%","27-38%","-0.13"
"Fentress","36%","30-44%","1.31"
"Franklin","31%","25-36%","-0.88"
"Gibson","31%","26-37%","-0.77"
"Giles","34%","27-41%","0.36"
"Grainger","32%","25-41%","-0.36"
"Greene","33%","28-38%","0.02"
"Grundy","30%","24-37%","-1.11"
"Hamblen","30%","24-37%","-1.04"
"Hamilton","30%","27-33%","-1.15"
"Hancock","31%","24-39%","-0.73"
"Hardeman","39%","32-46%","2.14"
"Hardin","34%","28-41%","0.40"
"Hawkins","35%","29-40%","0.59"
"Haywood^","41%","34-49%","3.00"
"Henderson","37%","31-43%","1.42"
"Henry","36%","30-42%","1.16"
"Hickman","32%","25-39%","-0.36"
"Houston","35%","27-44%","0.82"
"Humphreys","35%","27-43%","0.70"
"Jackson","32%","26-39%","-0.36"
"Jefferson","28%","22-35%","-1.72"
"Johnson","30%","24-37%","-1.23"
"Knox","29%","26-32%","-1.60"
"Lake","37%","29-46%","1.57"
"Lauderdale","38%","32-45%","1.99"
"Lawrence","33%","27-39%","0.14"
"Lewis","32%","25-39%","-0.43"
"Lincoln","29%","23-36%","-1.45"
"Loudon","28%","22-34%","-1.94"
"Macon","35%","28-43%","0.74"
"Madison","36%","33-39%","1.27"
"Marion","31%","24-37%","-0.88"
"Marshall","33%","27-40%","-0.01"
"Maury","37%","32-43%","1.57"
"McMinn","36%","30-42%","1.01"
"McNairy","36%","29-43%","1.01"
"Meigs","31%","23-39%","-0.85"
"Monroe","36%","29-43%","1.20"
"Montgomery","29%","25-34%","-1.41"
"Moore","34%","26-43%","0.36"
"Morgan","31%","24-39%","-0.77"
"Obion","32%","27-38%","-0.20"
"Overton","32%","26-39%","-0.39"
"Perry","33%","26-40%","-0.09"
"Pickett","34%","26-42%","0.21"
"Polk","33%","27-41%","0.10"
"Putnam","34%","29-40%","0.36"
"Rhea","35%","29-42%","0.78"
"Roane","34%","28-41%","0.36"
"Robertson","35%","29-42%","0.82"
"Rutherford","34%","30-39%","0.36"
"Scott","31%","24-39%","-0.81"
"Sequatchie","30%","23-38%","-1.11"
"Sevier","31%","26-36%","-0.85"
"Shelby","34%","31-36%","0.21"
"Smith","36%","28-43%","0.97"
"Stewart","31%","24-38%","-0.88"
"Sullivan","31%","28-34%","-0.66"
"Sumner","28%","24-33%","-1.72"
"Tipton","34%","29-39%","0.29"
"Trousdale","33%","26-42%","0.17"
"Unicoi","32%","25-39%","-0.43"
"Union","32%","24-40%","-0.39"
"Van Buren","32%","24-40%","-0.51"
"Warren","32%","26-38%","-0.47"
"Washington","32%","28-37%","-0.20"
"Wayne","33%","26-40%","-0.05"
"Weakley","31%","25-37%","-0.85"
"White","30%","24-37%","-1.04"
"Williamson","27%","23-32%","-2.17"
"Wilson","33%","28-39%","0.10"
