County,County Value,Error Margin,Z-Score
"Texas","28%","&nbsp;",
"Anderson","33%","26-41%","1.48"
"Andrews","29%","22-37%","-0.64"
"Angelina","34%","28-40%","1.58"
"Aransas","28%","21-35%","-1.00"
"Archer","30%","23-38%","-0.13"
"Armstrong","31%","23-39%","0.15"
"Atascosa","28%","21-36%","-1.05"
"Austin","28%","22-35%","-1.10"
"Bailey","30%","23-38%","-0.22"
"Bandera","28%","21-35%","-1.23"
"Bastrop","33%","26-40%","1.07"
"Baylor","29%","22-37%","-0.50"
"Bee","31%","23-39%","0.19"
"Bell","30%","26-35%","-0.08"
"Bexar","28%","26-31%","-0.91"
"Blanco","30%","23-38%","0.10"
"Borden","30%","23-38%","NA"
"Bosque","30%","23-38%","0.06"
"Bowie","33%","27-39%","1.16"
"Brazoria","32%","26-38%","0.65"
"Brazos","26%","21-32%","-1.93"
"Brewster","28%","22-34%","-1.19"
"Briscoe","30%","23-38%","NA"
"Brooks","29%","22-39%","-0.50"
"Brown","28%","21-35%","-1.23"
"Burleson","30%","23-38%","0.06"
"Burnet","31%","25-39%","0.38"
"Caldwell","28%","21-36%","-0.82"
"Calhoun","30%","23-38%","-0.08"
"Callahan","29%","23-37%","-0.36"
"Cameron","32%","26-38%","0.75"
"Camp","32%","25-40%","0.93"
"Carson","29%","22-38%","-0.36"
"Cass","31%","24-38%","0.24"
"Castro","30%","22-39%","0.06"
"Chambers","31%","23-40%","0.56"
"Cherokee","31%","25-38%","0.33"
"Childress","30%","22-39%","-0.13"
"Clay","31%","24-39%","0.29"
"Cochran","30%","22-38%","-0.31"
"Coke","29%","22-38%","-0.54"
"Coleman","30%","22-38%","-0.22"
"Collin","25%","22-29%","-2.39"
"Collingsworth","30%","23-39%","-0.04"
"Colorado","31%","24-38%","0.15"
"Comal","29%","23-35%","-0.77"
"Comanche","31%","24-39%","0.38"
"Concho","31%","23-40%","0.47"
"Cooke","30%","23-38%","0.01"
"Coryell","32%","25-39%","0.75"
"Cottle","30%","23-38%","-0.08"
"Crane","29%","22-37%","-0.50"
"Crockett","31%","23-40%","0.38"
"Crosby","29%","22-37%","-0.45"
"Culberson","31%","23-40%","0.29"
"Dallam","32%","25-40%","0.84"
"Dallas","28%","26-31%","-1.00"
"Dawson","32%","24-41%","0.88"
"Deaf Smith","32%","24-41%","0.98"
"Delta","29%","22-37%","-0.41"
"Denton","24%","20-28%","-2.89"
"DeWitt","33%","25-41%","1.11"
"Dickens","29%","22-36%","-0.54"
"Dimmit","31%","24-40%","0.56"
"Donley","31%","24-40%","0.52"
"Duval","30%","22-39%","-0.22"
"Eastland","32%","28-36%","0.75"
"Ector","31%","27-35%","0.33"
"Edwards","29%","21-38%","-0.50"
"El Paso","27%","23-30%","-1.65"
"Ellis","29%","22-36%","-0.77"
"Erath","31%","24-39%","0.47"
"Falls","30%","23-38%","-0.04"
"Fannin","32%","25-39%","0.70"
"Fayette","29%","23-37%","-0.36"
"Fisher","29%","22-37%","-0.45"
"Floyd","29%","22-37%","-0.59"
"Foard","29%","22-36%","-0.77"
"Fort Bend","24%","21-26%","-3.08"
"Franklin","29%","21-37%","-0.77"
"Freestone","31%","23-39%","0.24"
"Frio","31%","23-41%","0.52"
"Gaines","32%","25-40%","1.02"
"Galveston","25%","20-30%","-2.43"
"Garza","31%","23-40%","0.38"
"Gillespie","31%","24-38%","0.42"
"Glasscock","29%","21-38%","NA"
"Goliad","32%","24-40%","0.65"
"Gonzales","33%","26-42%","1.25"
"Gray","28%","22-35%","-0.96"
"Grayson","29%","24-36%","-0.36"
"Gregg","35%","31-40%","2.27"
"Grimes","32%","25-40%","0.70"
"Guadalupe","32%","26-38%","0.84"
"Hale","28%","23-35%","-0.87"
"Hall","31%","24-40%","0.42"
"Hamilton","33%","26-41%","1.30"
"Hansford","29%","21-37%","-0.73"
"Hardeman","32%","24-40%","0.70"
"Hardin","34%","27-43%","1.94"
"Harris","27%","26-29%","-1.28"
"Harrison","33%","27-40%","1.30"
"Hartley","30%","22-38%","-0.17"
"Haskell","30%","22-37%","-0.31"
"Hays","24%","19-29%","-3.03"
"Hemphill","31%","23-41%","0.33"
"Henderson","31%","25-38%","0.47"
"Hidalgo","37%","31-43%","3.00"
"Hill","31%","24-38%","0.15"
"Hockley","30%","23-37%","-0.31"
"Hood","26%","20-32%","-2.02"
"Hopkins","29%","23-37%","-0.41"
"Houston","30%","24-36%","-0.13"
"Howard","31%","23-39%","0.15"
"Hudspeth","29%","22-38%","-0.54"
"Hunt","30%","24-38%","0.06"
"Hutchinson","33%","25-42%","1.25"
"Irion","29%","22-37%","NA"
"Jack","29%","22-38%","-0.41"
"Jackson","33%","25-42%","1.48"
"Jasper","33%","26-40%","1.30"
"Jeff Davis","27%","21-35%","-1.33"
"Jefferson","37%","32-42%","3.10"
"Jim Hogg","30%","22-40%","0.10"
"Jim Wells","29%","22-38%","-0.41"
"Johnson","33%","27-39%","1.39"
"Jones","30%","23-38%","0.01"
"Karnes","31%","23-39%","0.15"
"Kaufman","31%","24-38%","0.15"
"Kendall","27%","21-34%","-1.28"
"Kenedy","30%","22-39%","NA"
"Kent","30%","22-39%","NA"
"Kerr","25%","20-31%","-2.25"
"Kimble","30%","22-38%","-0.27"
"King","29%","21-38%","NA"
"Kinney","29%","22-37%","-0.36"
"Kleberg","31%","22-40%","0.15"
"Knox","29%","22-38%","-0.36"
"La Salle","30%","22-40%","0.10"
"Lamar","34%","27-41%","1.71"
"Lamb","29%","22-36%","-0.73"
"Lampasas","28%","21-36%","-0.96"
"Lavaca","32%","25-40%","0.88"
"Lee","31%","24-39%","0.33"
"Leon","31%","24-38%","0.19"
"Liberty","29%","22-36%","-0.68"
"Limestone","35%","27-43%","2.04"
"Lipscomb","30%","22-39%","-0.13"
"Live Oak","30%","23-38%","-0.13"
"Llano","27%","21-34%","-1.42"
"Loving","31%","23-40%","NA"
"Lubbock","28%","25-31%","-0.96"
"Lynn","31%","24-39%","0.52"
"Madison","31%","23-39%","0.24"
"Marion","33%","26-41%","1.30"
"Martin","30%","22-39%","-0.13"
"Mason","28%","22-36%","-0.87"
"Matagorda","33%","26-42%","1.48"
"Maverick","30%","23-38%","-0.04"
"McCulloch","31%","23-40%","0.38"
"McLennan","30%","25-36%","0.06"
"McMullen","31%","24-40%","NA"
"Medina","32%","24-40%","0.75"
"Menard","29%","22-37%","-0.68"
"Midland","31%","27-35%","0.29"
"Milam","31%","24-39%","0.47"
"Mills","28%","21-36%","-1.05"
"Mitchell","29%","21-37%","-0.77"
"Montague","28%","21-35%","-1.23"
"Montgomery","28%","23-33%","-1.00"
"Moore","31%","24-40%","0.47"
"Morris","34%","27-41%","1.67"
"Motley","28%","21-36%","NA"
"Nacogdoches","33%","26-40%","1.11"
"Navarro","34%","27-43%","1.85"
"Newton","31%","23-39%","0.15"
"Nolan","31%","23-39%","0.24"
"Nueces","32%","26-38%","0.84"
"Ochiltree","31%","23-40%","0.15"
"Oldham","32%","23-41%","0.70"
"Orange","31%","25-38%","0.38"
"Palo Pinto","30%","23-38%","-0.17"
"Panola","32%","25-40%","0.98"
"Parker","31%","24-38%","0.24"
"Parmer","31%","24-40%","0.47"
"Pecos","30%","23-38%","0.06"
"Polk","34%","26-41%","1.53"
"Potter","30%","24-36%","-0.17"
"Presidio","28%","21-36%","-1.05"
"Rains","30%","23-39%","-0.04"
"Randall","27%","21-33%","-1.60"
"Reagan","30%","22-39%","-0.04"
"Real","30%","22-38%","-0.17"
"Red River","31%","24-39%","0.33"
"Reeves","30%","22-39%","-0.31"
"Refugio","31%","23-39%","0.19"
"Roberts","29%","22-38%","NA"
"Robertson","31%","24-39%","0.15"
"Rockwall","28%","21-35%","-1.10"
"Runnels","28%","21-36%","-1.14"
"Rusk","35%","29-42%","2.40"
"Sabine","29%","22-37%","-0.64"
"San Augustine","33%","26-42%","1.48"
"San Jacinto","31%","24-39%","0.19"
"San Patricio","32%","25-39%","0.70"
"San Saba","30%","22-38%","-0.22"
"Schleicher","29%","22-38%","-0.36"
"Scurry","29%","24-33%","-0.73"
"Shackelford","34%","25-43%","1.53"
"Shelby","34%","27-42%","1.94"
"Sherman","30%","23-39%","0.06"
"Smith","28%","25-31%","-0.91"
"Somervell","30%","23-38%","-0.13"
"Starr","30%","23-38%","-0.13"
"Stephens","30%","23-37%","-0.27"
"Sterling","31%","22-40%","NA"
"Stonewall","29%","22-38%","-0.36"
"Sutton","30%","23-39%","0.01"
"Swisher","30%","22-38%","-0.08"
"Tarrant","28%","26-31%","-0.96"
"Taylor","31%","25-38%","0.52"
"Terrell","30%","23-38%","NA"
"Terry","32%","26-40%","1.02"
"Throckmorton","29%","22-37%","-0.59"
"Titus","32%","24-40%","0.61"
"Tom Green","26%","20-32%","-1.97"
"Travis","20%","19-22%","-4.50"
"Trinity","31%","24-39%","0.29"
"Tyler","33%","26-40%","1.11"
"Upshur","32%","26-39%","1.02"
"Upton","30%","22-41%","0.10"
"Uvalde","31%","24-40%","0.47"
"Val Verde","29%","23-36%","-0.64"
"Van Zandt","31%","25-39%","0.52"
"Victoria","34%","27-42%","1.76"
"Walker","31%","24-39%","0.33"
"Waller","31%","24-39%","0.33"
"Ward","31%","23-39%","0.19"
"Washington","30%","24-38%","0.01"
"Webb","32%","25-39%","0.61"
"Wharton","32%","25-40%","0.65"
"Wheeler","30%","22-38%","-0.31"
"Wichita","29%","23-35%","-0.59"
"Wilbarger","30%","22-38%","-0.27"
"Willacy","29%","22-38%","-0.50"
"Williamson","29%","25-33%","-0.68"
"Wilson","28%","21-35%","-1.19"
"Winkler","31%","23-40%","0.33"
"Wise","32%","25-40%","0.84"
"Wood","30%","24-37%","-0.08"
"Yoakum","29%","21-37%","-0.73"
"Young","27%","21-35%","-1.33"
"Zapata","30%","22-39%","-0.08"
"Zavala","30%","22-39%","-0.22"
