County,County Value,Error Margin,Z-Score
"Utah","25%","&nbsp;",
"Beaver","28%","22-35%","0.51"
"Box Elder","33%","29-37%","1.86"
"Cache","22%","20-25%","-0.84"
"Carbon","29%","26-32%","0.85"
"Daggett","26%","20-33%","NA"
"Davis","25%","23-26%","-0.27"
"Duchesne","26%","23-30%","0.17"
"Emery","27%","23-32%","0.41"
"Garfield","29%","23-36%","0.87"
"Grand","23%","19-27%","-0.73"
"Iron","23%","20-27%","-0.68"
"Juab","28%","23-34%","0.59"
"Kane","23%","18-29%","-0.60"
"Millard","29%","25-33%","0.82"
"Morgan","23%","18-28%","-0.81"
"Piute","25%","19-32%","NA"
"Rich","27%","20-34%","NA"
"Salt Lake","25%","24-26%","-0.14"
"San Juan","26%","21-31%","-0.01"
"Sanpete","25%","21-28%","-0.24"
"Sevier","31%","27-35%","1.32"
"Summit","14%","12-16%","-3.12"
"Tooele","31%","29-33%","1.39"
"Uintah","28%","25-32%","0.72"
"Utah","23%","22-25%","-0.63"
"Wasatch","23%","21-25%","-0.66"
"Washington","23%","21-26%","-0.63"
"Wayne","23%","18-29%","-0.60"
"Weber","27%","26-29%","0.43"
