County,County Value,Error Margin,Z-Score
"Virginia","27%","&nbsp;",
"Accomack","37%","32-41%","1.86"
"Albemarle","23%","19-27%","-1.84"
"Alexandria City","21%","17-24%","-2.43"
"Alleghany","31%","25-37%","0.30"
"Amelia","31%","25-38%","0.35"
"Amherst","30%","24-37%","0.16"
"Appomattox","30%","23-38%","0.13"
"Arlington","17%","14-20%","-3.46"
"Augusta","30%","26-35%","0.19"
"Bath","31%","24-39%","0.35"
"Bland","29%","22-38%","-0.08"
"Botetourt","26%","20-32%","-1.05"
"Bristol City","29%","22-37%","-0.14"
"Brunswick","35%","28-42%","1.29"
"Buchanan","30%","23-36%","-0.05"
"Buckingham","33%","27-39%","0.92"
"Buena Vista City","28%","21-36%","-0.38"
"Campbell","33%","27-39%","0.78"
"Caroline","30%","24-36%","0.00"
"Carroll","31%","25-38%","0.35"
"Charles City","36%","29-45%","1.81"
"Charlotte","32%","26-40%","0.67"
"Charlottesville City","26%","20-34%","-0.95"
"Chesapeake City","31%","28-35%","0.40"
"Chesterfield","27%","24-30%","-0.81"
"Clarke","28%","22-35%","-0.46"
"Colonial Heights City","26%","20-34%","-0.92"
"Covington City","29%","22-38%","-0.08"
"Craig","29%","23-37%","-0.14"
"Culpeper","30%","25-36%","0.13"
"Cumberland","31%","25-39%","0.46"
"Danville City","35%","29-42%","1.43"
"Dickenson","30%","23-37%","0.03"
"Dinwiddie","33%","27-39%","0.78"
"Emporia City","32%","25-41%","0.67"
"Essex","30%","23-37%","-0.05"
"Fairfax","20%","18-22%","-2.65"
"Fairfax City","23%","20-26%","-1.89"
"Falls Church City","26%","20-34%","-0.89"
"Fauquier","26%","21-31%","-1.13"
"Floyd","27%","20-34%","-0.78"
"Fluvanna","30%","23-36%","-0.05"
"Franklin","27%","22-33%","-0.65"
"Franklin City","34%","28-42%","1.24"
"Frederick","33%","27-38%","0.75"
"Fredericksburg City","30%","23-37%","-0.03"
"Galax City","29%","21-37%","-0.27"
"Giles","31%","25-39%","0.46"
"Gloucester","33%","27-39%","0.94"
"Goochland","25%","19-31%","-1.30"
"Grayson","33%","26-41%","0.97"
"Greene","27%","21-34%","-0.81"
"Greensville","35%","28-42%","1.32"
"Halifax","36%","31-42%","1.67"
"Hampton City","32%","28-36%","0.65"
"Hanover","27%","23-31%","-0.86"
"Harrisonburg City","27%","19-35%","-0.76"
"Henrico","28%","25-32%","-0.41"
"Henry","32%","27-37%","0.54"
"Highland","27%","21-35%","-0.65"
"Hopewell City","34%","27-42%","1.19"
"Isle of Wight","29%","24-34%","-0.30"
"James City","25%","20-30%","-1.38"
"King and Queen","31%","24-39%","0.35"
"King George","29%","22-36%","-0.27"
"King William","30%","24-37%","0.08"
"Lancaster","31%","25-38%","0.38"
"Lee","28%","22-34%","-0.49"
"Lexington City","27%","20-36%","-0.68"
"Loudoun","22%","19-25%","-2.13"
"Louisa","35%","29-42%","1.48"
"Lunenburg","27%","22-34%","-0.62"
"Lynchburg City","30%","25-36%","0.03"
"Madison","31%","25-38%","0.40"
"Manassas City","28%","21-35%","-0.59"
"Manassas Park City","30%","22-39%","0.00"
"Martinsville City","33%","26-41%","1.00"
"Mathews","27%","21-34%","-0.73"
"Mecklenburg","32%","27-37%","0.59"
"Middlesex","26%","20-32%","-1.08"
"Montgomery","24%","20-28%","-1.62"
"Nelson","28%","22-34%","-0.54"
"New Kent","32%","25-39%","0.51"
"Newport News City","34%","30-39%","1.19"
"Norfolk City","31%","28-35%","0.46"
"Northampton","35%","30-41%","1.51"
"Northumberland","26%","21-32%","-1.11"
"Norton City","28%","21-36%","-0.49"
"Nottoway","36%","29-43%","1.59"
"Orange","28%","23-34%","-0.43"
"Page","30%","23-37%","-0.05"
"Patrick","31%","25-37%","0.30"
"Petersburg City","38%","32-46%","2.32"
"Pittsylvania","33%","29-37%","0.92"
"Poquoson City","27%","20-34%","-0.86"
"Portsmouth City","37%","32-42%","1.94"
"Powhatan","31%","25-38%","0.32"
"Prince Edward","30%","24-36%","0.03"
"Prince George","35%","29-42%","1.48"
"Prince William","25%","22-29%","-1.22"
"Pulaski","32%","27-39%","0.73"
"Radford City","29%","22-38%","-0.08"
"Rappahannock","26%","21-33%","-0.89"
"Richmond","30%","24-36%","-0.05"
"Richmond City","30%","26-33%","-0.03"
"Roanoke","27%","23-30%","-0.86"
"Roanoke City","34%","30-39%","1.27"
"Rockbridge","24%","19-30%","-1.46"
"Rockingham","28%","23-33%","-0.49"
"Russell","31%","25-37%","0.38"
"Salem City","24%","18-30%","-1.57"
"Scott","33%","27-39%","0.81"
"Shenandoah","26%","21-32%","-0.92"
"Smyth","27%","21-34%","-0.65"
"Southampton","33%","27-40%","0.92"
"Spotsylvania","34%","29-39%","1.02"
"Stafford","33%","28-38%","0.92"
"Staunton City","28%","21-35%","-0.59"
"Suffolk City","30%","25-35%","0.05"
"Surry","33%","27-41%","1.00"
"Sussex","39%","32-46%","2.43"
"Tazewell","29%","23-35%","-0.24"
"Virginia Beach City","27%","24-30%","-0.70"
"Warren","28%","22-34%","-0.59"
"Washington","31%","26-36%","0.27"
"Waynesboro City","30%","23-38%","0.08"
"Westmoreland","30%","24-37%","0.16"
"Williamsburg City","27%","20-36%","-0.62"
"Winchester City","27%","20-35%","-0.86"
"Wise","33%","28-39%","0.94"
"Wythe","30%","24-37%","0.16"
"York","27%","22-32%","-0.76"
