County,County Value,Error Margin,Z-Score
"West Virginia","34%","&nbsp;",
"Barbour","35%","29-41%","-0.15"
"Berkeley","36%","32-39%","0.22"
"Boone","35%","31-41%","0.11"
"Braxton","31%","26-37%","-1.43"
"Brooke","35%","29-41%","-0.08"
"Cabell","33%","30-37%","-0.66"
"Calhoun","35%","28-41%","-0.22"
"Clay","36%","30-43%","0.44"
"Doddridge","35%","29-43%","0.07"
"Fayette","35%","30-39%","-0.22"
"Gilmer","39%","31-47%","1.43"
"Grant","37%","30-44%","0.66"
"Greenbrier","34%","29-38%","-0.52"
"Hampshire","34%","29-39%","-0.52"
"Hancock","38%","33-44%","1.06"
"Hardy","36%","30-42%","0.22"
"Harrison","33%","30-37%","-0.70"
"Jackson","31%","26-36%","-1.69"
"Jefferson","33%","28-37%","-0.95"
"Kanawha","32%","30-34%","-1.25"
"Lewis","36%","30-42%","0.40"
"Lincoln","41%","35-46%","1.98"
"Logan","41%","36-46%","2.23"
"Marion","34%","31-38%","-0.26"
"Marshall","33%","28-38%","-0.95"
"Mason","36%","32-42%","0.47"
"McDowell","40%","34-46%","1.83"
"Mercer","34%","30-38%","-0.44"
"Mineral","35%","30-40%","-0.15"
"Mingo","41%","35-46%","1.98"
"Monongalia","27%","24-31%","-2.82"
"Monroe","32%","26-38%","-1.21"
"Morgan","34%","28-41%","-0.41"
"Nicholas","36%","30-41%","0.18"
"Ohio","29%","25-34%","-2.13"
"Pendleton","35%","29-43%","0.07"
"Pleasants","38%","31-46%","0.99"
"Pocahontas","32%","26-38%","-1.06"
"Preston","36%","31-41%","0.14"
"Putnam","33%","29-37%","-0.95"
"Raleigh","35%","31-38%","-0.22"
"Randolph","36%","31-40%","0.18"
"Ritchie","34%","28-41%","-0.44"
"Roane","37%","31-44%","0.69"
"Summers","38%","32-44%","0.95"
"Taylor","36%","30-43%","0.47"
"Tucker","36%","29-43%","0.29"
"Tyler","34%","27-41%","-0.33"
"Upshur","36%","31-42%","0.40"
"Wayne","38%","33-43%","1.06"
"Webster","36%","29-42%","0.14"
"Wetzel","33%","28-39%","-0.66"
"Wirt","38%","31-46%","1.10"
"Wood","34%","31-38%","-0.37"
"Wyoming","38%","32-44%","1.02"
