County,County Value,Error Margin,Z-Score
"Wisconsin","29%","&nbsp;",
"Adams","31%","26-37%","0.24"
"Ashland","28%","23-33%","-0.99"
"Barron","33%","28-40%","0.97"
"Bayfield","28%","24-32%","-0.85"
"Brown","27%","24-31%","-1.20"
"Buffalo","33%","27-40%","0.76"
"Burnett","29%","24-35%","-0.64"
"Calumet","29%","23-36%","-0.47"
"Chippewa","29%","23-34%","-0.75"
"Clark","34%","28-41%","1.08"
"Columbia","33%","28-39%","0.97"
"Crawford","29%","24-36%","-0.43"
"Dane","22%","20-25%","-2.96"
"Dodge","28%","22-33%","-1.03"
"Door","28%","22-34%","-0.99"
"Douglas","32%","26-38%","0.38"
"Dunn","30%","24-36%","-0.33"
"Eau Claire","32%","27-38%","0.59"
"Florence","34%","28-40%","1.15"
"Fond du Lac","31%","26-37%","0.13"
"Forest","32%","27-37%","0.45"
"Grant","30%","24-36%","-0.33"
"Green","31%","25-37%","0.10"
"Green Lake","31%","25-37%","0.17"
"Iowa","28%","23-33%","-1.03"
"Iron","29%","24-34%","-0.61"
"Jackson","33%","27-39%","0.66"
"Jefferson","29%","24-35%","-0.50"
"Juneau","34%","28-40%","1.15"
"Kenosha","32%","27-37%","0.41"
"Kewaunee","35%","28-41%","1.43"
"La Crosse","25%","21-30%","-1.91"
"Lafayette","33%","26-39%","0.76"
"Langlade","29%","23-34%","-0.71"
"Lincoln","32%","26-37%","0.31"
"Manitowoc","31%","26-36%","0.17"
"Marathon","30%","25-34%","-0.40"
"Marinette","33%","27-38%","0.73"
"Marquette","33%","27-40%","0.94"
"Menominee^","41%","35-47%","3.00"
"Milwaukee","31%","29-33%","0.13"
"Monroe","32%","26-38%","0.34"
"Oconto","29%","23-35%","-0.71"
"Oneida","30%","25-36%","-0.15"
"Outagamie","32%","27-37%","0.48"
"Ozaukee","27%","22-33%","-1.17"
"Pepin","32%","27-38%","0.62"
"Pierce","31%","24-37%","-0.04"
"Polk","30%","24-36%","-0.33"
"Portage","35%","29-41%","1.39"
"Price","32%","27-38%","0.55"
"Racine","32%","27-37%","0.41"
"Richland","33%","27-39%","0.76"
"Rock","34%","29-39%","1.08"
"Rusk","32%","26-37%","0.34"
"Sauk","30%","25-37%","-0.12"
"Sawyer","28%","24-33%","-0.78"
"Shawano","33%","28-39%","0.97"
"Sheboygan","28%","23-32%","-1.10"
"St. Croix","28%","23-35%","-0.78"
"Taylor","34%","29-40%","1.25"
"Trempealeau","31%","25-38%","0.27"
"Vernon","34%","28-41%","1.22"
"Vilas","27%","23-32%","-1.13"
"Walworth","27%","22-32%","-1.31"
"Washburn","29%","23-34%","-0.75"
"Washington","30%","25-35%","-0.40"
"Waukesha","27%","23-31%","-1.27"
"Waupaca","26%","21-31%","-1.70"
"Waushara","32%","26-39%","0.48"
"Winnebago","28%","24-33%","-0.89"
"Wood","34%","29-39%","1.25"
