County,County Value,Error Margin,Z-Score
"Wyoming","27%","&nbsp;",
"Albany","21%","18-24%","-1.17"
"Big Horn","28%","24-32%","0.45"
"Campbell","34%","31-37%","1.86"
"Carbon","27%","23-30%","0.14"
"Converse","28%","25-32%","0.60"
"Crook","28%","24-32%","0.50"
"Fremont","26%","24-29%","0.02"
"Goshen","28%","24-31%","0.41"
"Hot Springs","25%","21-30%","-0.18"
"Johnson","23%","19-27%","-0.76"
"Laramie","28%","26-30%","0.55"
"Lincoln","24%","21-27%","-0.42"
"Natrona","28%","26-30%","0.53"
"Niobrara","27%","21-33%","0.26"
"Park","25%","22-27%","-0.35"
"Platte","27%","23-31%","0.21"
"Sheridan","25%","22-27%","-0.35"
"Sublette","21%","17-25%","-1.27"
"Sweetwater","29%","26-32%","0.79"
"Teton","13%","10-15%","-3.26"
"Uinta","30%","26-33%","0.89"
"Washakie","25%","21-29%","-0.30"
"Weston","29%","25-34%","0.84"
